//CCCC 2022/Level 1 (pre-A1)
人[人]	rén	(N) person [CCCC1]
春天[春天]	chūntiān	春/春天 [chūn/chūntiān](N) spring [CCCC1]
夏[夏]	xià	夏/夏天 [xià/xiàtiān](N) summer [CCCC1]
夏天[夏天]	xiàtiān	夏/夏天 [xià/xiàtiān](N) summer [CCCC1]
秋[秋]	qiū	秋/秋天 [qiū/qiūtiān](N) autumn, fall [CCCC1]
秋天[秋天]	qiūtiān	秋/秋天 [qiū/qiūtiān](N) autumn, fall [CCCC1]
冬[冬]	dōng	冬/冬天 [dōng/dōngtiān](N) winter [CCCC1]
冬天[冬天]	dōngtiān	冬/冬天 [dōng/dōngtiān](N) winter [CCCC1]
天气[天氣]	tiānqì	(N) weather [CCCC1]
冷[冷]	lěng	(Vs) cold [CCCC1]
热[熱]	rè	(Vs) hot [CCCC1]
阴天[陰天]	yīntiān	(N) cloudy [CCCC1]
晴天[晴天]	qíngtiān	(N) sunny [CCCC1]
下雨[下雨]	xiàyǔ	(V) to rain [CCCC1]
下雪[下雪]	xiàxuě	(V) to snow [CCCC1]
花[花]	huā	(N) flower [CCCC1]
草[草]	cǎo	(N) grass [CCCC1]
树[樹]	shù	(N) tree [CCCC1]
木[木]	mù	木/木頭 [mù/mùtou](N) wood [CCCC1]
木头[木頭]	mùtou	木/木頭 [mù/mùtou](N) wood [CCCC1]
叶子[葉子]	yèzi	葉(子) [yè(zi)](N) leaf [CCCC1]
叶[葉]	yè	葉(子) [yè(zi)](N) leaf [CCCC1]
动物[動物]	dòngwù	(N) animal [CCCC1]
老虎[老虎]	lǎohǔ	(老)虎 [(lǎo) hǔ](N) tiger [CCCC1]
虎[虎]	hǔ	(老)虎 [(lǎo) hǔ](N) tiger [CCCC1]
猴子[猴子]	hóuzi	猴(子) [hóu(zi)](N) monkey [CCCC1]
猴[猴]	hóu	猴(子) [hóu(zi)](N) monkey [CCCC1]
马[馬]	mǎ	(N) horse [CCCC1]
牛[牛]	niú	(N) cow [CCCC1]
羊[羊]	yáng	(N) sheep [CCCC1]
猪[豬]	zhū	(N) pig [CCCC1]
狗[狗]	gǒu	(N) dog [CCCC1]
猫[貓]	māo	(N) cat [CCCC1]
老鼠[老鼠]	lǎoshǔ	(老)鼠 [(lǎo) shǔ](N) mouse, rat [CCCC1]
鼠[鼠]	shǔ	(老)鼠 [(lǎo) shǔ](N) mouse, rat [CCCC1]
兔子[兔子]	tùzi	兔(子) [tù(zi)](N) rabbit,hare [CCCC1]
兔[兔]	tù	兔(子) [tù(zi)](N) rabbit,hare [CCCC1]
鸟[鳥]	niǎo	(N) bird [CCCC1]
鸡[雞]	jī	(N) chicken [CCCC1]
鸭子[鴨子]	yāzi	鴨(子) [yā(zi)](N) duck [CCCC1]
鸭[鴨]	yā	鴨(子) [yā(zi)](N) duck [CCCC1]
鱼[魚]	yú	(N) fish [CCCC1]
山[山]	shān	(N) mountain [CCCC1]
地[地]	dì	(N) ground [CCCC1]
天空[天空]	tiānkōng	(N) sky [CCCC1]
大海[大海]	dàhǎi	(大)海 [(dà) hǎi](N) sea [CCCC1]
海[海]	hǎi	(大)海 [(dà) hǎi](N) sea [CCCC1]
海边[海邊]	hǎibiān	(N) seashore, sea beach, alongside the sea, coast [CCCC1]
上面[上面]	shàngmiàn	上(面) [shàng(miàn)](N) up; on top of [CCCC1]
上[上]	shàng	上(面) [shàng(miàn)](N) up; on top of [CCCC1]
下面[下面]	xiàmiàn	下(面) [xià(miàn)](N) down; under [CCCC1]
下[下]	xià	下(面) [xià(miàn)](N) down; under [CCCC1]
前面[前面]	qiánmiàn	前(面) [qián(miàn)](N) front [CCCC1]
前[前]	qián	前(面) [qián(miàn)](N) front [CCCC1]
后面[後面]	hòumiàn	後(面) [hòu(miàn)](N) back [CCCC1]
后[後]	hòu	後(面) [hòu(miàn)](N) back [CCCC1]
里面[裡面]	lǐmiàn	裡(面) [lǐ(miàn)](N) inside [CCCC1]
里[裡]	lǐ	裡(面) [lǐ(miàn)](N) inside [CCCC1]
外面[外面]	wàimiàn	外(面) [wài(miàn)](N) outside [CCCC1]
外[外]	wài	外(面) [wài(miàn)](N) outside [CCCC1]
中间[中間]	zhōngjiān	(N) center, middle [CCCC1]
在[在]	zài	(Prep/Asp) in, at, on, etc.; progressive aspect marker [CCCC1]
来[來]	lái	(V) to come [CCCC1]
去[去]	qù	(V) to go [CCCC1]
回[回]	huí	(V) to go back to [CCCC1]
进[進]	jìn	(V) to enter [CCCC1]
出[出]	chū	(V) to go out [CCCC1]
住[住]	zhù	(V) to live [CCCC1]
哪[哪]	nǎ	(N) which [CCCC1]
哪里[哪裡]	nǎlǐ	哪裡/哪兒 [nǎlǐ/nǎr](N) where [CCCC1]
哪儿[哪兒]	nǎr	哪裡/哪兒 [nǎlǐ/nǎr](N) where [CCCC1]
这里[這裡]	zhèlǐ	這裡/這兒 [zhèlǐ/zhèr](Adv) here [CCCC1]
这儿[這兒]	zhèr	這裡/這兒 [zhèlǐ/zhèr](Adv) here [CCCC1]
那里[那裡]	nàlǐ	那裡/那兒 [nàlǐ/nàr](Adv) there [CCCC1]
那儿[那兒]	nàr	那裡/那兒 [nàlǐ/nàr](Adv) there [CCCC1]
路[路]	lù	(N) road [CCCC1]
这[這]	zhè	這/這些 [zhè/zhèixiē](Det) this; these [CCCC1]
这些[這些]	zhèixiē	這/這些 [zhè/zhèixiē](Det) this; these [CCCC1]
那[那]	nà	那/那些 [nà/nèixiē](Det) that; those [CCCC1]
那些[那些]	nèixiē	那/那些 [nà/nèixiē](Det) that; those [CCCC1]
家[家]	jiā	(N) home [CCCC1]
房子[房子]	fángzi	房(子) [fáng(zi)](N) house [CCCC1]
房[房]	fáng	房(子) [fáng(zi)](N) house [CCCC1]
房间[房間]	fángjiān	(N) room [CCCC1]
学校[學校]	xuéxiào	(N) school [CCCC1]
餐厅[餐廳]	cāntīng	(N) restaurant, dining room [CCCC1]
医院[醫院]	yīyuàn	(N) hospital [CCCC1]
公园[公園]	gōngyuán	(N) park [CCCC1]
花园[花園]	huāyuán	(N) garden [CCCC1]
动物园[動物園]	dòngwùyuán	(N) zoo [CCCC1]
车站[車站]	chēzhàn	(N) station [CCCC1]
市场[市場]	shìchǎng	(N) market [CCCC1]
店[店]	diàn	(N) shop, store [CCCC1]
商店[商店]	shāngdiàn	(N) shop, store [CCCC1]
百货公司[百貨公司]	bǎihuògōngsī	(N) department store [CCCC1]
楼[樓]	lóu	(N) floor [CCCC1]
国家[國家]	guójiā	國(家) [guó(jiā)](N) country, state, nation [CCCC1]
国[國]	guó	國(家) [guó(jiā)](N) country, state, nation [CCCC1]
中国[中國]	zhōngguó	(N) China [CCCC1]
台湾[台灣]	táiwān	(N) Taiwan [CCCC1]
美国[美國]	měiguó	(N) the United States [CCCC1]
汉语[漢語]	hànyǔ	(N) Chinese/Sinitic language(s) [CCCC1]
英语[英語]	yīngyǔ	英語/英文 [yīngyǔ/yīngwén](N) English (language) [CCCC1]
英文[英文]	yīngwén	英語/英文 [yīngyǔ/yīngwén](N) English (language) [CCCC1]
华语[華語]	huáyǔ	華語/華文 [huáyǔ/huáwén](N) Chinese (language) [CCCC1]
华文[華文]	huáwén	華語/華文 [huáyǔ/huáwén](N) Chinese (language) [CCCC1]
请[請]	qǐng	(V) please [CCCC1]
谢谢[謝謝]	xièxie	謝(謝) [xiè(xie)](V) to thank [CCCC1]
谢[謝]	xiè	謝(謝) [xiè(xie)](V) to thank [CCCC1]
再见[再見]	zàijiàn	(V) Goodbye, or see you again. [CCCC1]
不客气[不客氣]	búkèqì	(V) You are welcome. [CCCC1]
没关系[沒關係]	méiguānxi	(V) Never mind. [CCCC1]
对不起[對不起]	duìbuqǐ	(V) sorry [CCCC1]
祝[祝]	zhù	(V) to bless, to wish [CCCC1]
对[對]	duì	(Vs) right, correct [CCCC1]
是[是]	shì	(Adv) yes [CCCC1]
不[不]	bù	(Adv) no, not [CCCC1]
没[沒]	méi	(Adv) no, not [CCCC1]
别[別]	bié	(Adv) other; don't [CCCC1]
没有[沒有]	méiyǒu	(Adv) not have [CCCC1]
也[也]	yě	(Adv) also, too, as well [CCCC1]
有[有]	yǒu	(V) to have, to possess [CCCC1]
要[要]	yào	(V) to want/wish (to), to ask (for), to demand, to request [CCCC1]
会[會]	huì	(V) will, can, be able to, be good at, be skillful in [CCCC1]
像[像]	xiàng	(V) to be like, to resemble [CCCC1]
不用[不用]	búyòng	(V) need not [CCCC1]
什么[什麼]	shénme	(N) what [CCCC1]
怎么[怎麼]	zěnme	(N) how [CCCC1]
为什么[為什麼]	wèishénme	(N) why [CCCC1]
怎么样[怎麼樣]	zěnmeyàng	(N) how [CCCC1]
怎么办[怎麼辦]	zěnmebàn	(N) what to do [CCCC1]
把[把]	bǎ	(BA) marking entities which have undergone a certain change of state [CCCC1]
可以[可以]	kěyǐ	(Adv) can, may [CCCC1]
都[都]	dōu	(Adv) all [CCCC1]
和[和]	hé	和 [hé/hàn](Prep/Conj) with, and [CCCC1]
和[和]	hàn	和 [hé/hàn](Prep/Conj) with, and [CCCC1]
跟[跟]	gēn	(Conj/Prep) and, with [CCCC1]
或[或]	huò	(Conj) or, either or [CCCC1]
因为[因為]	yīnwèi	(Conj) because [CCCC1]
的[的]	de	(Ptc) possessive particle; common adj. particle; particle: emphasizing an action [CCCC1]
吗[嗎]	ma	(Ptc) a question particle [CCCC1]
呢[呢]	ne	(Ptc) a question particle [CCCC1]
喂[喂]	wéi	(Ptc) a common telephone or intercom greeting "hello" [CCCC1]
吧[吧]	ba	(Ptc) particle implying probability [CCCC1]
//CCCC 2022/Level 2 (A1)
姓[姓]	xìng	(V/N) surname, family name [CCCC2]
家庭[家庭]	jiātíng	(N) family [CCCC2]
客人[客人]	kèrén	(N) guest, visitor [CCCC2]
伯伯[伯伯]	bóbo	伯(伯) [bó(bo)](N) uncle [CCCC2]
伯[伯]	bó	伯(伯) [bó(bo)](N) uncle [CCCC2]
父母[父母]	fùmǔ	(N) parents [CCCC2]
宝贝[寶貝]	bǎobèi	(N) baby [CCCC2]
帮[幫]	bāng	(V) to help [CCCC2]
帮忙[幫忙]	bāngmáng	(V/N) (to) help [CCCC2]
事[事]	shì	事/事情 [shì/shìqíng/shìqing](N) matter [CCCC2]
事情[事情]	shìqíng	事/事情 [shì/shìqíng/shìqing](N) matter [CCCC2]
事情[事情]	shìqing	事/事情 [shì/shìqíng/shìqing](N) matter [CCCC2]
家事[家事]	jiāshì	(N) housework [CCCC2]
打扫[打掃]	dǎsǎo	(V) to clean [CCCC2]
长大[長大]	zhǎngdà	(V) to grow up [CCCC2]
容易[容易]	róngyì	(Vs) easy [CCCC2]
简单[簡單]	jiǎndān	(Vs) simple [CCCC2]
难[難]	nán	(Vs) difficult [CCCC2]
清楚[清楚]	qīngchǔ	清楚 [qīngchǔ/qīngchu](Vs) clear [CCCC2]
清楚[清楚]	qīngchu	清楚 [qīngchǔ/qīngchu](Vs) clear [CCCC2]
心[心]	xīn	(N) heart [CCCC2]
背[背]	bèi	背 [bèi/bēi](N/V) back of body; to carry sth on the back [CCCC2]
背[背]	bēi	背 [bèi/bēi](N/V) back of body; to carry sth on the back [CCCC2]
动[動]	dòng	(V) to move [CCCC2]
活[活]	huó	(Vs) alive [CCCC2]
躺[躺]	tǎng	(V) to lie [CCCC2]
休息[休息]	xiūxí	休息 [xiūxí/xiūxi](V) to rest [CCCC2]
休息[休息]	xiūxi	休息 [xiūxí/xiūxi](V) to rest [CCCC2]
拉[拉]	lā	(V) to pull [CCCC2]
推[推]	tuī	(V) to push [CCCC2]
接[接]	jiē	(V) to catch; to pick up someone [CCCC2]
抓[抓]	zhuā	(V) to grab [CCCC2]
举[舉]	jǔ	(V) to lift [CCCC2]
弄[弄]	nòng	(V) to play with something [CCCC2]
挂[掛]	guà	(V) to hang [CCCC2]
跳[跳]	tiào	(V) to jump [CCCC2]
香[香]	xiāng	(Vs) fragrant [CCCC2]
臭[臭]	chòu	(Vs) stink [CCCC2]
吹[吹]	chuī	(V) to blow [CCCC2]
说话[說話]	shuōhuà	(V) to speak [CCCC2]
生气[生氣]	shēngqì	(Vs) angry [CCCC2]
高兴[高興]	gāoxìng	(Vs) happy [CCCC2]
开心[開心]	kāixīn	(Vs) happy [CCCC2]
有趣[有趣]	yǒuqù	(Vs) interesting [CCCC2]
紧张[緊張]	jǐnzhāng	(Vs) nervous [CCCC2]
奇怪[奇怪]	qíguài	(Vs) strange [CCCC2]
疼[疼]	téng	(Vs) hurt [CCCC2]
梦[夢]	mèng	(N/V) (to) dream [CCCC2]
做梦[做夢]	zuòmèng	做夢/作夢 [zuòmèng](V) to dream [CCCC2]
作梦[作夢]	zuòmèng	做夢/作夢 [zuòmèng](V) to dream [CCCC2]
忘[忘]	wàng	(Vs) to forget [CCCC2]
想念[想念]	xiǎngniàn	(Vs) to miss [CCCC2]
懂[懂]	dǒng	(Vs) to understand [CCCC2]
轻[輕]	qīng	(Vs) light [CCCC2]
重[重]	zhòng	(Vs) heavy [CCCC2]
年纪[年紀]	niánjì	(N) age [CCCC2]
年轻[年輕]	niánqīng	(Vs) young [CCCC2]
美丽[美麗]	měilì	(Vs) beautiful [CCCC2]
勇敢[勇敢]	yǒnggǎn	(Vs) brave [CCCC2]
聪明[聰明]	cōngmíng	(Vs) smart [CCCC2]
害羞[害羞]	hàixiū	(Vs) shy [CCCC2]
牙医[牙醫]	yáyī	(N) dentist [CCCC2]
司机[司機]	sījī	(N) driver [CCCC2]
老板[老闆]	lǎobǎn	(N) boss [CCCC2]
画家[畫家]	huàjiā	(N) painter [CCCC2]
厨师[廚師]	chúshī	(N) cook [CCCC2]
农夫[農夫]	nóngfū	農夫/農民 [nóngfū/nóngmín](N) farmer [CCCC2]
农民[農民]	nóngmín	農夫/農民 [nóngfū/nóngmín](N) farmer [CCCC2]
歌手[歌手]	gēshǒu	歌手/歌星 [gēshǒu/gēxīng](N) singer [CCCC2]
歌星[歌星]	gēxīng	歌手/歌星 [gēshǒu/gēxīng](N) singer [CCCC2]
做[做]	zuò	(Vs) to be [CCCC2]
第[第]	dì	(Det) marker of ordinal numerals [CCCC2]
千[千]	qiān	(Num) thousand [CCCC2]
数目[數目]	shùmù	(N) amount [CCCC2]
全部[全部]	quánbù	(N/Det) all, whole [CCCC2]
一半[一半]	yībàn	(N/Det) one half, half [CCCC2]
一些[一些]	yīxiē	(Det) a little bit [CCCC2]
一点儿[一點兒]	yīdiǎnr	(Det/Adv) a bit, a little [CCCC2]
完[完]	wán	(V) to use up, to finish, to complete [CCCC2]
算[算]	suàn	(V) to calculate, to count [CCCC2]
加[加]	jiā	(V) to add [CCCC2]
总共[總共]	zǒnggòng	(V) to total [CCCC2]
只[只]	zhǐ	(Adv) only [CCCC2]
片[片]	piàn	(M) partial measure word for thin, flat pieces of something and for a vast expanse of something [CCCC2]
件[件]	jiàn	(M) individual measure word for clothes, etc., for furniture, jewelry, etc., and for affairs, incidents, etc. [CCCC2]
位[位]	wèi	(M) individual measure word for people [CCCC2]
支[支]	zhī	支/枝 [zhī](M) individual measure word for flowers, grass and for rod-shaped article [CCCC2]
枝[枝]	zhī	支/枝 [zhī](M) individual measure word for flowers, grass and for rod-shaped article [CCCC2]
条[條]	tiáo	(M) individual measure word for long, narrow things, such as rivers, pants, snakes, etc. [CCCC2]
棵[棵]	kē	(M) individual measure word for plants. [CCCC2]
颗[顆]	kē	(M) individual measure word for small and roundish things [CCCC2]
瓶[瓶]	píng	(N/M) bottle; container measure word for bottles of liquid substances [CCCC2]
张[張]	zhāng	(M) individual measure word for flat things, or things with a surface [CCCC2]
包[包]	bāo	(V/M) to pack; collective measure word for the things wrapped or tied up and for the things fixed in bundles [CCCC2]
间[間]	jiān	(M) container measure word for houses or other buildings [CCCC2]
把[把]	bǎ	(M) individual measure word for a thing with a handle or something like a handle [CCCC2]
付[付]	fù	(V) to pay [CCCC2]
收[收]	shōu	(V) to receive [CCCC2]
卖[賣]	mài	(V) to sell [CCCC2]
贵[貴]	guì	(Vs) expensive [CCCC2]
便宜[便宜]	piányi	(Vs) cheap [CCCC2]
找钱[找錢]	zhǎoqián	(V) to give change [CCCC2]
钱包[錢包]	qiánbāo	(N) wallet, purse [CCCC2]
更[更]	gèng	(Adv) more [CCCC2]
还[還]	hái	(Adv) still [CCCC2]
这么[這麼]	zhème	(Adv) such [CCCC2]
那么[那麼]	nàme	(Adv) like that [CCCC2]
坏[壞]	huài	(Vs) bad [CCCC2]
棒[棒]	bàng	(Vs) excellent [CCCC2]
今年[今年]	jīnnián	(N/Adv) this year [CCCC2]
去年[去年]	qùnian	(N/Adv) last year [CCCC2]
明年[明年]	míngnián	(N/Adv) next year [CCCC2]
前天[前天]	qiántiān	(N/Adv) day before yesterday [CCCC2]
后天[後天]	hòutiān	(N/Adv) day after tomorrow [CCCC2]
周末[週末]	zhōumò	(N/Adv) weekend [CCCC2]
以前[以前]	yǐqián	(N/Adv) ealier; before; ago [CCCC2]
从前[從前]	cóngqián	(N/Adv) long time ago [CCCC2]
以后[以後]	yǐhòu	(N/Adv) hereafter, afterward, subsequently [CCCC2]
后来[後來]	hòulái	(N/Adv) subsequently, later [CCCC2]
正在[正在]	zhèngzài	(Adv) presently [CCCC2]
一直[一直]	yīzhí	(Adv) continuously, perennially, all along [CCCC2]
常常[常常]	chángcháng	(Adv) frequently,often [CCCC2]
忽然[忽然]	hūrán	(Adv) suddenly [CCCC2]
来得及[來得及]	láidejí	(Adv) be in time [CCCC2]
一会儿[一會兒]	yīhuǐr	(Adv) a while [CCCC2]
小时[小時]	xiǎoshí	(N) hour [CCCC2]
分钟[分鐘]	fēnzhōng	(N) minute [CCCC2]
时候[時候]	shíhòu	時候 [shíhòu/shíhou](N) time [CCCC2]
时候[時候]	shíhou	時候 [shíhòu/shíhou](N) time [CCCC2]
又[又]	yòu	(Conj/Adv) again [CCCC2]
才[才]	cái	(Conj/Adv) just [CCCC2]
然后[然後]	ránhòu	(Conj) then [CCCC2]
慢[慢]	màn	(Vs) slow [CCCC2]
灰色[灰色]	huīsè	(N) gray [CCCC2]
紫色[紫色]	zǐsè	(N) purple [CCCC2]
橘色[橘色]	júsè	(N) orange [CCCC2]
宽[寬]	kuān	(Vs) wide [CCCC2]
窄[窄]	zhǎi	(Vs) narrow [CCCC2]
细[細]	xì	(Vs) thin, fine [CCCC2]
比较[比較]	bǐjiào	(V) to compare [CCCC2]
比[比]	bǐ	(V) to compare [CCCC2]
边[邊]	biān	(N) side, edge [CCCC2]
上衣[上衣]	shàngyī	(N) top [CCCC2]
洋装[洋裝]	yángzhuāng	(N) dress [CCCC2]
内衣[內衣]	nèiyī	(N) underwear [CCCC2]
内裤[內褲]	nèikù	(N) underpants [CCCC2]
口袋[口袋]	kǒudài	(N) pocket [CCCC2]
手帕[手帕]	shǒupà	(N) handkerchief [CCCC2]
手套[手套]	shǒutào	(N) gloves [CCCC2]
眼镜[眼鏡]	yǎnjìng	(N) glasses [CCCC2]
围巾[圍巾]	wéijīn	(N) scarf [CCCC2]
家具[家具]	jiājù	(N) furniture [CCCC2]
铃[鈴]	líng	(N) bell [CCCC2]
屋顶[屋頂]	wūdǐng	(N) roof [CCCC2]
沙发[沙發]	shāfā	(N) sofa [CCCC2]
书架[書架]	shūjià	(N) bookshelf [CCCC2]
书桌[書桌]	shūzhuō	(N) desk [CCCC2]
镜子[鏡子]	jìngzi	鏡(子) [jìng(zi)](N) mirror [CCCC2]
镜[鏡]	jìng	鏡(子) [jìng(zi)](N) mirror [CCCC2]
桶子[桶子]	tǒngzi	桶(子) [tǒng(zi)](N) bucket [CCCC2]
桶[桶]	tǒng	桶(子) [tǒng(zi)](N) bucket [CCCC2]
盒[盒]	hé	盒(子) [hé(zi)](N/M) box; container measure word for things in a box [CCCC2]
盒子[盒子]	hézi	盒(子) [hé(zi)](N/M) box; container measure word for things in a box [CCCC2]
袋子[袋子]	dàizi	袋(子) [dài(zi)](N) bag [CCCC2]
袋[袋]	dài	袋(子) [dài(zi)](N) bag [CCCC2]
毛巾[毛巾]	máojīn	(N) towel [CCCC2]
牙刷[牙刷]	yáshuā	(N) toothbrush [CCCC2]
牙膏[牙膏]	yágāo	(N) toothpaste [CCCC2]
手机[手機]	shǒujī	(N) cell phone, mobile phone [CCCC2]
垃圾[垃圾]	lèsè	(N) garbage [CCCC2]
东西[東西]	dōngxi	(N) thing [CCCC2]
信[信]	xìn	(N) letter, mail [CCCC2]
邮票[郵票]	yóupiào	(N) stamp [CCCC2]
卡片[卡片]	kǎpiàn	(N) card [CCCC2]
报纸[報紙]	bàozhǐ	(N) newspaper [CCCC2]
汤匙[湯匙]	tāngchí	湯匙/勺子 [tāngchí/sháozi](N) spoon [CCCC2]
勺子[勺子]	sháozi	湯匙/勺子 [tāngchí/sháozi](N) spoon [CCCC2]
盘[盤]	pán	盤(子) [pán(zhi)](N/M) plate; individual measure word for plate-shaped things. [CCCC2]
盘子[盤子]	pánzi	盤(子) [pán(zhi)](N/M) plate; individual measure word for plate-shaped things. [CCCC2]
茶壶[茶壺]	cháhú	(N) teapot, teakettle [CCCC2]
旧[舊]	jiù	(Vs) old [CCCC2]
干净[乾淨]	gānjìng	(Vs) clean [CCCC2]
乱[亂]	luàn	(Vs) messy [CCCC2]
整理[整理]	zhěnglǐ	(V) to put in order, to arrange [CCCC2]
关[關]	guān	(V) to close, to shut, to turn off [CCCC2]
搬[搬]	bān	(V) to move [CCCC2]
倒[倒]	dào	(V) to empty [CCCC2]
用[用]	yòng	(V) to use [CCCC2]
找[找]	zhǎo	(V) to find, to look for [CCCC2]
刷[刷]	shuā	(V) to brush [CCCC2]
寄[寄]	jì	(V) to send, to mail [CCCC2]
食物[食物]	shíwù	(N) food [CCCC2]
米[米]	mǐ	(N) rice [CCCC2]
炒饭[炒飯]	chǎofàn	(N) fried rice [CCCC2]
粽子[粽子]	zòngzi	粽(子) [zòng(zi)](N) a pyramid-shaped mass of glutinous rice wrapped in leaves [CCCC2]
粽[粽]	zòng	粽(子) [zòng(zi)](N) a pyramid-shaped mass of glutinous rice wrapped in leaves [CCCC2]
包子[包子]	bāozi	(N) steamed stuffed bun [CCCC2]
月饼[月餅]	yuèbǐng	月餅 [yuèbǐng/yuèbing](N) moon cake [CCCC2]
月饼[月餅]	yuèbing	月餅 [yuèbǐng/yuèbing](N) moon cake [CCCC2]
牛排[牛排]	niúpái	(N) beefsteak [CCCC2]
沙拉[沙拉]	shālā	(N) salad [CCCC2]
咖哩[咖哩]	kālǐ	(N) curry [CCCC2]
奶油[奶油]	nǎiyóu	(N) cream, butter [CCCC2]
青菜[青菜]	qīngcài	(N) vegetables [CCCC2]
南瓜[南瓜]	nánguā	(N) pumpkin [CCCC2]
玉米[玉米]	yùmǐ	玉米 [yùmǐ/yùmi](N) corn [CCCC2]
玉米[玉米]	yùmi	玉米 [yùmǐ/yùmi](N) corn [CCCC2]
洋葱[洋蔥]	yángcōng	(N) onion [CCCC2]
咖啡[咖啡]	kāfēi	(N) coffee [CCCC2]
开水[開水]	kāishuǐ	(N) boiling/boiled water [CCCC2]
奶茶[奶茶]	nǎichá	(N) milk tea [CCCC2]
炸鸡[炸雞]	zhájī	(N) fried chicken [CCCC2]
薯条[薯條]	shǔtiáo	(N) French fries [CCCC2]
鸡块[雞塊]	jīkuài	(N) Chicken nugget [CCCC2]
披萨[披薩]	pīsà	披薩/比薩 [pīsà/bǐsà](N) pizza [CCCC2]
比萨[比薩]	bǐsà	披薩/比薩 [pīsà/bǐsà](N) pizza [CCCC2]
点心[點心]	diǎnxīn	點心 [diǎnxīn/diǎnxin](N) snack [CCCC2]
点心[點心]	diǎnxin	點心 [diǎnxīn/diǎnxin](N) snack [CCCC2]
巧克力[巧克力]	qiǎokèlì	(N) chocolate [CCCC2]
葡萄[葡萄]	pútao	(N) grape [CCCC2]
饱[飽]	bǎo	(Vs) full [CCCC2]
渴[渴]	kě	(Vs) thirsty [CCCC2]
烤[烤]	kǎo	(V) to roast, to barbecue, to bake [CCCC2]
做菜[做菜]	zuòcài	(V) to cook [CCCC2]
菜单[菜單]	càidān	(N) menu [CCCC2]
点菜[點菜]	diǎncài	(V) to order dishes [CCCC2]
年级[年級]	niánjí	(N) grade [CCCC2]
班级[班級]	bānjí	(N) class [CCCC2]
小学[小學]	xiǎoxué	(N) primary school, elementary school [CCCC2]
中学[中學]	zhōngxué	(N) middle school [CCCC2]
校长[校長]	xiàozhǎng	(N) principal [CCCC2]
寒假[寒假]	hánjià	(N) winter vacation [CCCC2]
暑假[暑假]	shǔjià	(N) summer vacation [CCCC2]
请假[請假]	qǐngjià	(V) to ask for leave [CCCC2]
小学生[小學生]	xiǎoxuéshēng	(N) an elementary school student [CCCC2]
句子[句子]	jùzi	句(子) [jù(zi)](N) sentence [CCCC2]
句[句]	jù	句(子) [jù(zi)](N) sentence [CCCC2]
故事[故事]	gùshi	(N) story, tale [CCCC2]
作文[作文]	zuòwén	(N) composition [CCCC2]
图片[圖片]	túpiàn	(N) picture, photograph [CCCC2]
科学[科學]	kēxué	(N) science [CCCC2]
美术[美術]	měishù	(N) art [CCCC2]
数学[數學]	shùxué	(N) math [CCCC2]
体育[體育]	tǐyù	(N) physical education [CCCC2]
功课[功課]	gōngkè	(N) homework [CCCC2]
本子[本子]	běnzi	(N) book, notebook [CCCC2]
运动会[運動會]	yùndònghuì	(N) sports day [CCCC2]
练习[練習]	liànxí	(N/V) (to) practice [CCCC2]
准备[準備]	zhǔnbèi	(N/V) to prepare, preparation [CCCC2]
加油[加油]	jiāyóu	(V) to cheer on [CCCC2]
赛跑[賽跑]	sàipǎo	(N/V) (to) race [CCCC2]
比赛[比賽]	bǐsài	(N/V) match, competition; to compete [CCCC2]
参加[參加]	cānjiā	(V) to join, to attend [CCCC2]
排队[排隊]	páiduì	(V) to stand in line [CCCC2]
胶水[膠水]	jiāoshuǐ	(N) glue [CCCC2]
蜡笔[蠟筆]	làbǐ	(N) wax crayon [CCCC2]
交[交]	jiāo	交/交給 [jiāo/jiāogěi](V) to hand over, to deliver [CCCC2]
交给[交給]	jiāogěi	交/交給 [jiāo/jiāogěi](V) to hand over, to deliver [CCCC2]
带[帶]	dài	(V) to take, to bring [CCCC2]
翻[翻]	fān	(V) to turn over, to turn around [CCCC2]
教[教]	jiāo	(V) to teach [CCCC2]
打架[打架]	dǎjià	(V) to fight [CCCC2]
走路[走路]	zǒulù	(V/N) (to) walk [CCCC2]
跑步[跑步]	pǎobù	(V/N) (to) jog [CCCC2]
舞蹈[舞蹈]	wǔdào	(N) dance [CCCC2]
滑雪[滑雪]	huáxuě	(V/N) (to) ski [CCCC2]
逛[逛]	guàng	(V) to window-shop [CCCC2]
散步[散步]	sànbù	(V/N) (to) take a walk [CCCC2]
旅行[旅行]	lǚxíng	(V/N) (to) travel, journey, tour [CCCC2]
溜滑梯[溜滑梯]	liūhuátī	(N) slide [CCCC2]
网球[網球]	wǎngqiú	(N) tennis [CCCC2]
羽毛球[羽毛球]	yǔmáoqiú	(N) badminton [CCCC2]
乒乓球[乒乓球]	pīngpāngqiú	乒乓球/桌球 [pīngpāngqiú/zhuōqiú](N) ping-pong/table tennis [CCCC2]
桌球[桌球]	zhuōqiú	乒乓球/桌球 [pīngpāngqiú/zhuōqiú](N) ping-pong/table tennis [CCCC2]
收集[收集]	shōují	(V/N) to gather, to collect [CCCC2]
卡通[卡通]	kǎtōng	(N) cartoon [CCCC2]
漫画[漫畫]	mànhuà	(N) comic book [CCCC2]
上网[上網]	shàngwǎng	(V) to surf the internet [CCCC2]
鼓[鼓]	gǔ	(N) drum [CCCC2]
吉他[吉他]	jítā	(N) guitar [CCCC2]
小提琴[小提琴]	xiǎotíqín	(N) violin [CCCC2]
