//CCCC 2022/Level 1 (pre-A1)
人[人]	rén	(N) person [CCCC1]
叫[叫]	jiào	(V) to call; to ask [CCCC1]
问[問]	wèn	(V) to ask [CCCC1]
哈[哈]	hā	(Ptc) particle used for imitating laughters [CCCC1]
笑[笑]	xiào	(V) to smile, to laugh [CCCC1]
哭[哭]	kū	(V) to cry, to weep [CCCC1]
快乐[快樂]	kuàilè	(Vs) happy [CCCC1]
害怕[害怕]	hàipà	(Vs) afraid, scared [CCCC1]
可怕[可怕]	kěpà	(Vs) horrible [CCCC1]
累[累]	lèi	(Vs) tired, weary [CCCC1]
痛[痛]	tòng	(Vs) to ache [CCCC1]
怕[怕]	pà	(Vs) afraid, scared [CCCC1]
爱[愛]	ài	(Vs/N) to love [CCCC1]
喜欢[喜歡]	xǐhuān	喜歡 [xǐhuān/xǐhuan](Vs) to like [CCCC1]
喜欢[喜歡]	xǐhuan	喜歡 [xǐhuān/xǐhuan](Vs) to like [CCCC1]
讨厌[討厭]	tǎoyàn	(Vs) to hate [CCCC1]
觉得[覺得]	juéde	(V) to feel [CCCC1]
想[想]	xiǎng	(V) to think [CCCC1]
知道[知道]	zhīdao	(V) to know [CCCC1]
意思[意思]	yìsi	(N) meaning [CCCC1]
胖[胖]	pàng	(Vs) fat [CCCC1]
瘦[瘦]	shòu	(Vs) thin [CCCC1]
老[老]	lǎo	(Vs) old [CCCC1]
美[美]	měi	(Vs) beautiful, pretty [CCCC1]
乖[乖]	guāi	(Vs) well-behaved [CCCC1]
可爱[可愛]	kě'ài	(Vs) cute, lovely [CCCC1]
漂亮[漂亮]	piàoliang	(Vs) beautiful, pretty [CCCC1]
好像[好像]	hǎoxiàng	(Adv) seem, be like [CCCC1]
工人[工人]	gōngrén	(N) worker [CCCC1]
老师[老師]	lǎoshī	(N) teacher [CCCC1]
学生[學生]	xuéshēng	(N) student [CCCC1]
医生[醫生]	yīshēng	(N) doctor [CCCC1]
警察[警察]	jǐngchá	(N) police officer [CCCC1]
护士[護士]	hùshì	護士 [hùshì/hùshi](N) nurse [CCCC1]
护士[護士]	hùshi	護士 [hùshì/hùshi](N) nurse [CCCC1]
上班[上班]	shàngbān	(V) to go to work [CCCC1]
工作[工作]	gōngzuò	(V/N) (to) work [CCCC1]
忙[忙]	máng	(Vs) hurry, hasten [CCCC1]
零[零]	líng	(Num) zero [CCCC1]
一[一]	yī	(Num) one [CCCC1]
二[二]	èr	(Num) two [CCCC1]
两[兩]	liǎng	(Num) two [CCCC1]
三[三]	sān	(Num) three [CCCC1]
四[四]	sì	(Num) four [CCCC1]
五[五]	wǔ	(Num) five [CCCC1]
六[六]	liù	(Num) six [CCCC1]
七[七]	qī	(Num) seven [CCCC1]
八[八]	bā	(Num) eight [CCCC1]
九[九]	jiǔ	(Num) nine [CCCC1]
十[十]	shí	(Num) ten [CCCC1]
百[百]	bǎi	(Num) hundred [CCCC1]
每[每]	měi	(Det) every [CCCC1]
多[多]	duō	(Vs) a lot [CCCC1]
少[少]	shǎo	(Vs) few, little [CCCC1]
数[數]	shǔ	(V) to count [CCCC1]
剩下[剩下]	shèngxià	(V) to remain [CCCC1]
岁[歲]	suì	(N) age, year old [CCCC1]
一起[一起]	yīqǐ	(Adv) together [CCCC1]
本[本]	běn	(M) individual measure word for books or magazines, etc. [CCCC1]
页[頁]	yè	(N/M) page; partial measure word for one side of a book or magazine [CCCC1]
次[次]	cì	(M) measure word for the number of repetitions in a given period of time [CCCC1]
种[種]	zhǒng	種 [zhǒng/zhòng](M/V) collective measure word for things of the same kind; to grow (plants) [CCCC1]
种[種]	zhòng	種 [zhǒng/zhòng](M/V) collective measure word for things of the same kind; to grow (plants) [CCCC1]
朵[朵]	duǒ	(M) individual measure word for flowers or clouds [CCCC1]
块[塊]	kuài	(M) partial measure word for lumps of foodstuff, for regular-shaped products, and for chinese currency [CCCC1]
个[個]	ge	(M) general measure word for individuals [CCCC1]
只[隻]	zhī	(M) measre word for one of the symetrical limbs or organs of people or animals and for insects or animals [CCCC1]
元[元]	yuán	(N) dollar [CCCC1]
钱[錢]	qián	(N) money [CCCC1]
买[買]	mǎi	(V) to buy [CCCC1]
多少[多少]	duōshǎo	(N) how much [CCCC1]
最[最]	zuì	(Adv) most [CCCC1]
好[好]	hǎo	(Adv/Vs) very, quite; good [CCCC1]
太[太]	tài	(Adv) too, extremely, very [CCCC1]
很[很]	hěn	(Adv) very, quite, awfully [CCCC1]
真[真]	zhēn	(Adv) really, truly [CCCC1]
非常[非常]	fēicháng	(Adv) specially, very, extremely [CCCC1]
一样[一樣]	yīyàng	(Adv) same [CCCC1]
年[年]	nián	(N) year [CCCC1]
月[月]	yuè	(N) month [CCCC1]
日[日]	rì	(N) day [CCCC1]
号[號]	hào	(N) number [CCCC1]
天[天]	tiān	(N) day [CCCC1]
星期[星期]	xīngqí	星期 [xīngqí/xīngqī](N) week [CCCC1]
星期[星期]	xīngqī	星期 [xīngqí/xīngqī](N) week [CCCC1]
星期天[星期天]	xīngqítiān	星期天/星期日 [xīngqítiān/xīngqītiān/xīngqírì/xīngqīrì](N/Adv) Sunday [CCCC1]
星期天[星期天]	xīngqītiān	星期天/星期日 [xīngqítiān/xīngqītiān/xīngqírì/xīngqīrì](N/Adv) Sunday [CCCC1]
星期日[星期日]	xīngqírì	星期天/星期日 [xīngqítiān/xīngqītiān/xīngqírì/xīngqīrì](N/Adv) Sunday [CCCC1]
星期日[星期日]	xīngqīrì	星期天/星期日 [xīngqítiān/xīngqītiān/xīngqírì/xīngqīrì](N/Adv) Sunday [CCCC1]
今天[今天]	jīntiān	(N/Adv) today [CCCC1]
明天[明天]	míngtiān	(N/Adv) tomorrow [CCCC1]
昨天[昨天]	zuótiān	(N/Adv) yesterday [CCCC1]
假日[假日]	jiàrì	(N) holiday [CCCC1]
早[早]	zǎo	(Vs/Adv) early [CCCC1]
先[先]	xiān	(Adv) earlier, before [CCCC1]
早上[早上]	zǎoshang	(N/Adv) morning [CCCC1]
上午[上午]	shàngwǔ	(N/Adv) morning [CCCC1]
中午[中午]	zhōngwǔ	(N/Adv) noon [CCCC1]
下午[下午]	xiàwǔ	(N/Adv) afternoon [CCCC1]
晚上[晚上]	wǎnshang	(N/Adv) evening, night [CCCC1]
现在[現在]	xiànzài	(Adv) now [CCCC1]
开始[開始]	kāishǐ	(V) to begin, to start [CCCC1]
几[幾]	jǐ	(Det) several [CCCC1]
点[點]	diǎn	(N) o'clock [CCCC1]
分[分]	fēn	(N) minute [CCCC1]
半[半]	bàn	(N) half an hour [CCCC1]
一下子[一下子]	yīxiàzi	(Adv) in a short while [CCCC1]
再[再]	zài	(Conj/Adv) again [CCCC1]
就[就]	jiù	(Conj/Adv) then (refers to both time and cause-effect relationship) [CCCC1]
等[等]	děng	(V) to wait [CCCC1]
快[快]	kuài	(Vs) soon, quick, fast [CCCC1]
着[著]	zhe	(Asp) aspect marker used to indicate events that are durative [CCCC1]
了[了]	le	(Asp) aspect marker used to indicate events undergone a certain change of state [CCCC1]
颜色[顏色]	yánsè	(N) color [CCCC1]
白色[白色]	báisè	(N) white [CCCC1]
黄色[黃色]	huángsè	(N) yellow [CCCC1]
黑色[黑色]	hēisè	(N) black [CCCC1]
绿色[綠色]	lǜsè	(N) green [CCCC1]
蓝色[藍色]	lánsè	(N) blue [CCCC1]
红色[紅色]	hóngsè	(N) red [CCCC1]
亮[亮]	liàng	(Vs) bright [CCCC1]
小[小]	xiǎo	(Vs) small, little [CCCC1]
大[大]	dà	(Vs) big [CCCC1]
长[長]	cháng	長 [cháng/zhǎng](Vs/V) long; to grow [CCCC1]
长[長]	zhǎng	長 [cháng/zhǎng](Vs/V) long; to grow [CCCC1]
高[高]	gāo	(Vs) high [CCCC1]
短[短]	duǎn	(Vs) short, brief [CCCC1]
矮[矮]	ǎi	(Vs) short [CCCC1]
圆[圓]	yuán	圓/圓形 [yuán/yuánxíng](Vs/N) round; circle [CCCC1]
