char,level
字,0
存,0
孝,0
季,0
孤,0
孩,0
孫,0
孵,0
學,0
它,0
宅,0
宇,0
守,0
安,0
完,0
宏,0
宗,0
官,0
宙,0
定,0
宜,0
客,0
宣,0
室,0
宮,0
宰,0
害,0
宴,0
宵,0
家,0
容,0
宿,0
寂,0
寄,0
密,0
富,0
寒,0
寓,0
寞,0
察,0
寡,0
實,0
寧,0
審,0
寫,0
寬,0
寵,0
寶,0
寸,0
寺,0
封,0
射,0
將,0
專,0
尊,0
尋,0
對,0
導,0
小,0
少,0
尖,0
尚,0
尤,0
就,0
尺,0
尼,0
尾,0
尿,0
局,0
屁,0
居,0
屆,0
屈,0
屋,0
屍,0
屎,0
屏,0
屑,0
展,0
屜,0
屠,0
屢,0
層,0
履,0
屬,0
山,0
屹,0
岡,0
岳,0
岸,0
峭,0
峯,0
島,0
峻,0
峽,0
崇,0
崎,0
崖,0
崗,0
崛,0
崩,0
嶄,0
嶇,0
嶺,0
嶼,0
嶽,0
巒,0
巖,0
川,0
州,0
巡,0
巢,0
工,0
左,0
巧,0
巨,0
巫,0
差,0
己,0
已,0
巴,0
巷,0
巾,0
市,0
布,0
帆,0
希,0
帕,0
帖,0
帚,0
帝,0
帥,0
師,0
席,0
帳,0
帶,0
常,0
帽,0
幅,0
幕,0
幟,0
幢,0
幣,0
幫,0
干,0
平,0
年,0
幸,0
幹,0
幻,0
幼,0
幽,0
幾,0
庇,0
序,0
底,0
店,0
府,0
度,0
座,0
庫,0
庭,0
康,0
庸,0
廁,0
廂,0
廈,0
廉,0
廊,0
廚,0
廟,0
廠,0
廢,0
廣,0
廳,0
延,0
廷,0
建,0
弄,0
弊,0
式,0
弓,0
弔,0
引,0
弘,0
弛,0
弟,0
弦,0
弧,0
弱,0
張,0
強,0
彈,0
彌,0
彎,0
彗,0
形,0
彩,0
彰,0
影,0
彷,0
役,0
彼,0
彿,0
往,0
征,0
待,0
很,0
徊,0
律,0
後,0
徐,0
徑,0
徒,0
得,0
徘,0
徙,0
從,0
御,0
復,0
循,0
微,0
徵,0
德,0
徹,0
徽,0
心,0
必,0
忌,0
忍,0
志,0
忘,0
忙,0
忠,0
快,0
忱,0
念,0
忽,0
忿,0
怎,0
怒,0
怕,0
怖,0
思,0
怠,0
怡,0
急,0
性,0
怨,0
怪,0
怯,0
恆,0
恍,0
恐,0
恕,0
恢,0
恤,0
恥,0
恨,0
恩,0
恭,0
息,0
恰,0
悄,0
悉,0
悔,0
悟,0
悠,0
患,0
悦,0
您,0
悲,0
悴,0
悶,0
悼,0
悽,0
情,0
惋,0
惑,0
惕,0
惚,0
惜,0
惟,0
惠,0
惡,0
惦,0
惰,0
惱,0
想,0
惶,0
惹,0
愁,0
愈,0
愉,0
意,0
愚,0
愛,0
感,0
愣,0
愧,0
慈,0
態,0
慌,0
慎,0
慕,0
慘,0
慚,0
慢,0
慣,0
慧,0
慨,0
慮,0
慰,0
慳,0
慶,0
慷,0
慾,0
憂,0
憎,0
憐,0
憑,0
憔,0
憤,0
憧,0
憩,0
憬,0
憲,0
憶,0
憾,0
懂,0
懇,0
懈,0
應,0
懊,0
懦,0
懲,0
懶,0
懷,0
懸,0
懼,0
戀,0
戈,0
成,0
我,0
戒,0
或,0
戚,0
截,0
戰,0
戲,0
戴,0
户,0
房,0
所,0
扁,0
扇,0
手,0
才,0
扎,0
扒,0
打,0
扔,0
托,0
扛,0
扣,0
扭,0
扮,0
扯,0
扶,0
批,0
找,0
承,0
技,0
抄,0
把,0
抑,0
抒,0
抓,0
投,0
抖,0
抗,0
折,0
披,0
抬,0
抱,0
抵,0
抹,0
押,0
抽,0
拆,0
拇,0
拉,0
拋,0
拌,0
拍,0
拎,0
拐,0
拒,0
拓,0
拔,0
拖,0
拘,0
拚,0
招,0
拜,0
括,0
拯,0
拱,0
拳,0
拼,0
拾,0
拿,0
持,0
指,0
按,0
挑,0
挖,0
挨,0
挪,0
挫,0
振,0
挺,0
挽,0
挾,0
捆,0
捉,0
捌,0
捍,0
捏,0
捐,0
捕,0
捧,0
捨,0
捩,0
捱,0
捲,0
捷,0
掀,0
掃,0
授,0
掉,0
掌,0
掏,0
排,0
掘,0
掙,0
掛,0
掠,0
採,0
探,0
掣,0
接,0
控,0
推,0
掩,0
措,0
揀,0
揉,0
描,0
提,0
插,0
揚,0
換,0
握,0
揭,0
揮,0
援,0
揹,0
損,0
搏,0
搓,0
搖,0
搗,0
搜,0
搞,0
搬,0
搭,0
搶,0
摔,0
摘,0
摟,0
摧,0
摩,0
摯,0
摸,0
摺,0
撈,0
撐,0
撒,0
撓,0
撕,0
撞,0
撤,0
撥,0
撫,0
播,0
撲,0
撻,0
撼,0
撿,0
擁,0
擂,0
擄,0
擅,0
擇,0
擊,0
擋,0
操,0
擎,0
擒,0
擔,0
據,0
擠,0
擦,0
擬,0
擰,0
擱,0
擲,0
擴,0
擺,0
擾,0
攀,0
攔,0
攜,0
攝,0
攣,0
攤,0
攪,0
攬,0
支,0
收,0
改,0
攻,0
放,0
政,0
故,0
效,0
敍,0
敏,0
救,0
敗,0
教,0
敝,0
敞,0
敢,0
散,0
敦,0
敬,0
敲,0
整,0
敵,0
敷,0
數,0
斃,0
文,0
斑,0
斕,0
料,0
斜,0
斤,0
斥,0
斧,0
斬,0
斯,0
新,0
斷,0
方,0
於,0
施,0
旁,0
旅,0
旋,0
族,0
旗,0
既,0
日,0
旦,0
旨,0
早,0
旬,0
旱,0
旺,0
昂,0
昆,0
昌,0
明,0
昏,0
易,0
昔,0
星,0
映,0
春,0
昨,0
是,0
時,0
晃,0
晉,0
晚,0
晝,0
晤,0
晨,0
普,0
景,0
晰,0
晴,0
晶,0
智,0
暇,0
暈,0
暑,0
暖,0
暗,0
暢,0
暫,0
暮,0
暴,0
曆,0
曉,0
曙,0
曝,0
曠,0
曬,0
曱,0
曲,0
更,0
書,0
曾,0
替,0
最,0
會,0
月,0
有,0
朋,0
服,0
朗,0
望,0
朝,0
期,0
朦,0
朧,0
木,0
未,0
末,0
本,0
朱,0
朵,0
朽,0
杆,0
李,0
杏,0
材,0
村,0
杖,0
杜,0
束,0
杧,0
杯,0
東,0
松,0
板,0
枉,0
析,0
枕,0
林,0
枚,0
果,0
枝,0
枯,0
枱,0
枴,0
架,0
柄,0
柏,0
某,0
柒,0
染,0
柔,0
柚,0
查,0
柱,0
柳,0
柴,0
柿,0
校,0
株,0
核,0
根,0
格,0
栽,0
桂,0
桃,0
框,0
案,0
桌,0
桑,0
桔,0
桶,0
桿,0
梅,0
梘,0
條,0
梢,0
梨,0
梭,0
梯,0
械,0
梳,0
棄,0
棉,0
棋,0
棍,0
棒,0
棕,0
棚,0
棟,0
森,0
棲,0
棵,0
椅,0
植,0
椰,0
楊,0
楓,0
楚,0
業,0
極,0
概,0
榕,0
榜,0
榦,0
榨,0
榮,0
榴,0
構,0
槍,0
槓,0
槤,0
槽,0
樁,0
樂,0
樑,0
樓,0
標,0
樞,0
模,0
樣,0
樸,0
樹,0
樽,0
橄,0
橋,0
橙,0
機,0
橡,0
橢,0
橫,0
檀,0
檔,0
檢,0
檬,0
檸,0
櫃,0
櫥,0
櫻,0
欄,0
權,0
欖,0
欠,0
次,0
欣,0
欲,0
欺,0
欽,0
款,0
歇,0
歉,0
歌,0
歎,0
歐,0
歡,0
止,0
正,0
此,0
步,0
武,0
歧,0
歪,0
歲,0
歷,0
歸,0
歹,0
死,0
殆,0
殉,0
殊,0
殖,0
殘,0
殯,0
殲,0
段,0
殷,0
殺,0
殼,0
殿,0
毀,0
毅,0
毆,0
毋,0
母,0
每,0
毒,0
比,0
毛,0
毫,0
毯,0
毽,0
氈,0
氏,0
民,0
氓,0
氛,0
氣,0
氧,0
水,0
永,0
氾,0
汁,0
求,0
汗,0
江,0
池,0
污,0
汪,0
汰,0
決,0
汽,0
沃,0
沉,0
沐,0
沒,0
沖,0
沙,0
沛,0
沫,0
河,0
沸,0
油,0
治,0
沼,0
沾,0
沿,0
況,0
泄,0
泉,0
泊,0
泌,0
法,0
泛,0
泡,0
波,0
泣,0
泥,0
注,0
泳,0
洋,0
洗,0
洛,0
洞,0
津,0
洪,0
洲,0
洶,0
活,0
洽,0
派,0
流,0
浩,0
浪,0
浮,0
浴,0
海,0
浸,0
消,0
涉,0
涕,0
涯,0
液,0
涵,0
涼,0
淆,0
淇,0
淋,0
淌,0
淘,0
淚,0
淡,0
淤,0
淨,0
淪,0
深,0
淵,0
混,0
淹,0
淺,0
添,0
清,0
減,0
渠,0
渡,0
渣,0
温,0
測,0
港,0
渲,0
渴,0
游,0
渺,0
渾,0
湃,0
湊,0
湖,0
湧,0
湯,0
溉,0
源,0
準,0
溜,0
溝,0
溢,0
溪,0
溯,0
溶,0
溺,0
滄,0
滅,0
滋,0
滌,0
滑,0
滓,0
滔,0
滯,0
滲,0
滴,0
滾,0
滿,0
漁,0
漂,0
漆,0
漏,0
演,0
漠,0
漢,0
漫,0
漬,0
漱,0
漲,0
漸,0
漾,0
漿,0
潑,0
潔,0
潛,0
潢,0
潤,0
潦,0
潭,0
潮,0
潰,0
澀,0
澄,0
澆,0
澈,0
澎,0
澡,0
澤,0
澱,0
激,0
濁,0
濃,0
濕,0
濘,0
濟,0
濤,0
濫,0
濱,0
濺,0
濾,0
瀉,0
瀏,0
瀑,0
