ID,Traditional,Simplified,Level,WritingFreq,SpeakingFreq,MOE,PinyinYB,Pinyin,Variants,POS,Meaning,Compounds,Examples
1,愛,爱,1,535,681,39542,ài,ài,,Vs/N,to love / love,,我愛你。他很愛吃水果。 / 爸爸媽媽對孩子的愛很多。
2,吧,吧,1,706,748,32 103,ba,ba,,Ptc,"final particle (for confirming, request)",走吧。,你是從英國來的吧？我們一起去運動吧！
3,八,八,1,214,163,1,bā,bā,,N,eight,八個，八張，八年。,他買了八個包子。
4,爸爸/爸,爸爸/爸,1,226,806,,bàba/bà,bàba/bà,"[{""Traditional"": ""爸爸"", ""Simplified"": ""爸爸"", ""Pinyin"": ""bàba"", ""PinyinYB"": ""bàba"", ""MOE"": ""82""}, {""Traditional"": ""爸"", ""Simplified"": ""爸"", ""Pinyin"": ""bà"", ""PinyinYB"": ""bà"", ""MOE"": ""81""}]",N,father,,我爸爸喜歡看電影。爸爸，生日快樂。
5,百,百,1,108,77,157 334,bǎi,bǎi,,N,hundred,一百個人，三百六十五天，一百五十分鐘，一百塊。,一年有三百六十五天。
6,半,半,1,334,279,960,bàn,bàn,,N,half,半個，半杯，半個鐘頭。,我吃了半個麵包。我喝了半杯咖啡。我休息半個鐘頭。
7,本,本,1,745,368,1054,běn,běn,,M,"classifier for books, periodicals, files, etc.",一本書，這本書。,老師送給我三本書。
8,不,不,1,9278,8951,1911 5466,bù,bù,,Adv,not,不是，不要，不會，不好，不去，不漂亮，不喜歡。,他不是學生。我不會說英文。他不喜歡吃麵。明天不上課。
9,茶,茶,1,89,449,31581,chá,chá,,N,tea,一杯茶。,你有時間坐下來喝杯茶嗎？
10,車子/車,车子/车,1,275,320,,chēzi/chē,chēzi/chē,"[{""Traditional"": ""車子"", ""Simplified"": ""车子"", ""Pinyin"": ""chēzi"", ""PinyinYB"": ""chēzi"", ""MOE"": """"}, {""Traditional"": ""車"", ""Simplified"": ""车"", ""Pinyin"": ""chē"", ""PinyinYB"": ""chē"", ""MOE"": """"}]",,,,
11,吃,吃,1,668,1438,21385 31362,chī,chī,,V,"to eat, to have (food)",吃飯，吃飽，吃藥。,今天晚餐要吃什麼？我吃飽了！感冒要吃藥才會好。
12,吃飯,吃饭,1,60,140,,chīfàn,chīfàn,,V/Ph,"to eat, to have a meal / to eat rice",回家吃飯，吃了飯。,今天晚上要不要一起去吃飯？吃飯以前要洗手。 / 今天你想吃飯還是吃麵？
13,打,打,1,352,364,6762,dǎ,dǎ,,V,"to play (baseball, basketball, bowling, computer games, mobile games, etc.) / to call / to beat, to hit",打球，打電話，打人。,我們明天要去打球。 / 我晚上打電話給你。 / 你不應該打人。
14,大,大,1,2110,2859,6933 7483,dà,dà,,Vs,"big, large / older",大杯，大房子，大五歲。,我們學校很大。他買了一輛很大的車。我們今天在大教室上課。 / 姐姐比我大五歲。
15,大家,大家,1,464,1712,7168 45136,dàjiā,dàjiā,,N,"everybody, everyone",大家一起。,大家好！我給大家介紹台灣的小吃。
16,大學,大学,1,380,219,7237,dàxué,dàxué,,N,university,……大學，念大學，上大學。,他在大學學中文。
17,帶,带,1,450,684,7560,dài,dài,,V,"to bring, to take / to lead",帶著＋N，帶＋N來，外帶，帶＋人去＋地方。,我今天沒帶手機。這杯咖啡，你要外帶嗎？ / 媽媽帶孩子去公園玩。
18,到,到,1,2297,3229,7667,dào,dào,,V/Prep,to arrive / to,到家，到學校去，到台灣來。,十分鐘以後我就到家了。 / 我要到學校去上課。
19,的,的,1,62002,62578,7457 8310 8568,de,de,,Ptc,possession marker / modifier marker,我的筆，姊姊的工作，學校裡的學生，今天的功課，甜的水果，高高的鼻子吃的東西，教中文的老師。,你的書在桌子上。這個是媽媽的杯子。 / 這家餐廳的東西很好吃。今天的晚餐吃什麼？他有一雙大大的眼睛。我昨天看的電影很好看。會說中文的外國人不少。
20,點,点,1,479,684,8812,diǎn,diǎn,,M/V,o'clock / to order,下午三點，點菜，點歌。,你明天幾點到學校？ / 我們點三個菜、一個湯。
21,電話,电话,1,167,72,8938,diànhuà,diànhuà,,N,"telephone, phone",一部電話，電話號碼，打電話。,我們家的電話壞了，不能打出去。你的電話號碼幾號？她打電話給我。
22,弟弟/弟,弟弟/弟,1,96,88,,dìdi/dì,dìdi/dì,"[{""Traditional"": ""弟弟"", ""Simplified"": ""弟弟"", ""Pinyin"": ""dìdi"", ""PinyinYB"": ""dìdi"", ""MOE"": ""8531""}, {""Traditional"": ""弟"", ""Simplified"": ""弟"", ""Pinyin"": ""dì"", ""PinyinYB"": ""dì"", ""MOE"": ""8528 10822""}]",N,younger brother,兩個弟弟。,我有兩個弟弟。他是我弟弟。
23,東西,东西,1,561,1120,9785 9787,dōngxi,dōngxi,,N,"things, stuff",什麼東西，吃東西，買東西。,我餓了，想吃點東西。我今天買了很多東西。
24,都,都,1,4645,7029,7780 9182,dōu,dōu,,Adv,all,,大家都到了，我們吃飯吧！我和媽媽都喜歡運動。這些字，我都學過了。
25,對,对,1,3485,5883,9499,duì,duì,,Vs,"correct, right",對不對，不對。,我們應該坐三點的車，對不對？這個字寫得不對。
26,對不起,对不起,1,37,65,9507,duìbùqǐ,duìbùqǐ,,Ph,"sorry, excuse me",,對不起，我昨天沒來上課。
27,多,多,1,1236,1594,9365,duō,duō,,Vs/Adv/Det,"many, much / how much, how many / over",多一點A比B多，多高，多大，兩百多塊，三百多人，一年多，十二點多。,我今天吃了很多東西。我的中文書比你的多。 / 你兒子今年多大了？ / 他學了一年多的中文。十二點多了，快吃飯吧！
28,多少,多少,1,207,272,9405,duōshǎo,duōshǎo,,N,"how many, how much",有多少，多少錢。,這裡一共有多少人？這枝筆多少錢？
29,二,二,1,539,227,39931,èr,èr,,N,two,二十年，二號，二月二日。,我的生日是二月二十日。
30,兒子,儿子,1,277,149,39888,érzi,érzi,,N,son,我兒子，三個兒子。,他有一個十歲的兒子。;
31,分,分,1,225,359,5702 5840,fēn,fēn,,N,minute,幾點幾分。,我每天六點十分起床。
32,高,高,1,496,694,16055,gāo,gāo,,Vs,tall,,台灣最高的山是玉山。你知道台北101有多高嗎？
33,個,个,1,9562,20644,15934 15960,ge,ge,,M,classifier for people or objects in general,一個麵包，這個東西，那個小孩，每個人。,這個麵包很好吃。我家有五個人。
34,哥哥/哥,哥哥/哥,1,113,148,,gēge/gē,gēge/gē,"[{""Traditional"": ""哥哥"", ""Simplified"": ""哥哥"", ""Pinyin"": ""gēge"", ""PinyinYB"": ""gēge"", ""MOE"": ""15836""}, {""Traditional"": ""哥"", ""Simplified"": ""哥"", ""Pinyin"": ""gē"", ""PinyinYB"": ""gē"", ""MOE"": ""15835""}]",N,elder brother,哥哥姊姊，他哥哥。,我有兩個哥哥。他是我哥。
35,給,给,1,1039,1401,16048 21535,gěi,gěi,,V/Prep,"to give / to, for",,請給我一杯咖啡。 / 我給媽媽買衣服。桌上的杯子，請拿給我。請給我們介紹台灣好玩的地方。
36,工作,工作,1,904,994,17599,gōngzuò,gōngzuò,,N,"work, job, task",做……工作，找工作。,他想在大學找一個工作。
37,國,国,1,256,363,16933,guó,guó,,N,"nation, country",哪國。,你是哪國人？
38,孩子,孩子,1,1345,1059,19228,háizi,háizi,,N,"kids,child, childern / son, daughter",孩子們，每個孩子，兩個孩子。,孩子都喜歡玩。 / 他們有兩個孩子，一個兒子，一個女兒。
39,和,和,1,5437,2135,,hàn/hé,hàn/hé,"[{""Traditional"": ""和"", ""Simplified"": ""和"", ""Pinyin"": ""hàn"", ""PinyinYB"": ""hàn"", ""MOE"": ""19016 19190 19725 19883 20369 20436""}, {""Traditional"": ""和"", ""Simplified"": ""和"", ""Pinyin"": ""hé"", ""PinyinYB"": ""hé"", ""MOE"": ""19016 19190 19725 19883 20369 20436""}]",Conj/Prep,and / (together) with,……和……，和……一起＋V。,我的房間裡有兩張桌子和一張椅子。 / 我和他一起學中文。
40,號,号,1,73,295,19417 19511,hào,hào,,N,number / day / grade,三十號，六號三樓，三月六號，大號，中號，小號。,我住在163號房。我住在中山路179號。 / 我媽媽的生日是十二月九號。 / 我穿小號的衣服。
41,好,好,1,1887,5853,19419 19462,hǎo,hǎo,,Vs/Adv/Ph,"good, well / very / to say hello to / would you",好累，好漂亮，好痛，好忙，你好，大家好。,今天天氣很好。今天是好天氣。他中文說得很好。 / 我今天好累。 / 老師好，同學好。 / 我們一起去吃飯，好嗎？
42,喝,喝,1,250,296,19012 19194,hē,hē,,V,to drink,喝茶，喝牛奶，喝湯。,你要喝茶嗎？我喜歡在睡覺以前喝一杯牛奶。
43,很,很,1,3068,6550,19755,hěn,hěn,,Adv,"very, quite",很＋Vs：很大，很高，很快，很漂亮，很快樂。,他很高。這個水果很甜。這個字很難寫。
44,後,后,1,1593,891,19555,hòu,hòu,,N,behind / after,後面，在＋N後面，三天後，一年後。,我後面坐著一個法國人。;他站在門後玩手機。 / 我三天後就要回國了。
45,話,话,1,589,1492,20243,huà,huà,,N,words,一句話。,我聽不懂你說的話。這句話是什麼意思？
46,幾,几,1,963,706,21212 21540,jǐ,jǐ,,Det,"how many, how much / which / a few, several",幾個，幾天，幾個月，幾歲，幾月，幾號，星期幾，幾本，幾張，幾分鐘。,你學了幾年的中文？你喝了幾杯咖啡？你今年幾歲？ / 今天是幾號？ / 我這裡有幾本中文書，你想看嗎？你可以等我幾分鐘嗎？
47,家,家,1,1060,1286,16670 21800,jiā,jiā,,N/M,"home / family / classifier for store, restaurant",回家，在家，我家，一家店，一家餐廳。,我家在台中。我下課以後就回家吃飯。 / 我家有四個人。 / 學校旁邊有很多家餐廳。
48,叫,叫,1,533,570,22498,jiào,jiào,,V,named / to ask,叫（人）做……。,你叫什麼名字？我叫王小明。 / 老師叫我們做功課。
49,腳,脚,1,208,178,22455,jiǎo,jiǎo,,N,foot,一隻腳，左腳，右腳。,走了一天，我的腳很痛。
50,姊姊/姐姐/姊/姐,姊姊/姐姐/姊/姐,1,108,328,,jiějie/jiě,jiějie/jiě,"[{""Traditional"": ""姊姊"", ""Simplified"": ""姊姊"", ""Pinyin"": ""jiějie"", ""PinyinYB"": ""jiějie"", ""MOE"": ""36718""}, {""Traditional"": ""姐姐"", ""Simplified"": ""姐姐"", ""Pinyin"": ""jiějie"", ""PinyinYB"": ""jiějie"", ""MOE"": ""45347""}, {""Traditional"": ""姊"", ""Simplified"": ""姊"", ""Pinyin"": ""jiě"", ""PinyinYB"": ""jiě"", ""MOE"": ""22185 36714""}, {""Traditional"": ""姐"", ""Simplified"": ""姐"", ""Pinyin"": ""jiě"", ""PinyinYB"": ""jiě"", ""MOE"": ""22181""}]",N,elder sister,我姐。,我的姐姐比大我一歲。
51,今年,今年,1,44,343,23129,jīnnián,jīnnián,,N,this year,今年三月，今年是2020年。,我今年五十歲。
52,今天,今天,1,290,1071,23128,jīntiān,jīntiān,,N,today,今天早上，今天下午三點。,我今天要去學校上課。
53,就,就,1,7262,16921,22719,jiù,jiù,,Adv,"only, merely, just / exactly, precisely",就兩個月，就學了兩年，就是，就在。,我就學了兩年中文。 / 學校就在我家旁邊。我們再走三分鐘就到學校了。
54,久,久,1,276,293,22608,jiǔ,jiǔ,,Vs,long time,,他們在台灣住了很久。
55,九,九,1,138,82,22594,jiǔ,jiǔ,,N,nine,九個，九張，九年。,我家有九個人。
56,咖啡,咖啡,1,55,89,17911,kāfēi,kāfēi,,N,coffee,一杯咖啡，喝咖啡。,我喜歡喝咖啡。
57,看,看,1,1808,3076,18398 18436,kàn,kàn,,V,"to look at, to see, to take a look / to watch / to read / to visit",看電視，看電影，看手機，看書，看朋友。,你在看什麼？你看，這些花好漂亮。 / 上課的時候不要看手機。今天晚上我想去看電影。 / 我喜歡看書。你看得懂中文書嗎？ / 我明天去台中看朋友。
58,可能,可能,1,1124,1522,17980,kěnéng,kěnéng,,Vaux,"probably, maybe, perhaps",（很）可能會。,明天可能會下雨。十點了，他可能不會來了。
59,可以,可以,1,2312,4257,18015,kěyǐ,kěyǐ,,Vaux,"allowed / could / be able to, can",,上課的時候可以吃東西嗎？ / 你可以給我介紹台灣好玩的地方嗎？ / 你可以用中文介紹自己嗎？
60,塊,块,1,240,542,18700,kuài,kuài,,M,piece / classifier for money and currency units,一塊肉，一塊蛋糕，五塊錢，十塊美金。,我中午吃了一塊蛋糕，喝了一杯咖啡。 / 一杯咖啡四十五塊。
61,來,来,1,2983,5979,13269,lái,lái,,V,to come,,他來台灣學中文。公車來了。
62,老,老,1,367,267,13471,lǎo,lǎo,,Vs,"aged / old, outdated",老先生，老太太，老房子，老朋友。,我奶奶很老了，她今年已經九十歲了。 / 我住在一間老房子裡。我們是二十年的老朋友。
63,老師,老师,1,327,1420,13585,lǎoshī,lǎoshī,,N,teacher,三位老師，英文老師。,他是我的中文老師。張老師早。
64,冷,冷,1,71,215,13862,lěng,lěng,,Vs,"cold, cool",天氣冷，冷空氣。,今天很冷。
65,兩,两,1,2149,1737,14994,liǎng,liǎng,,N,"two, both, pair",兩個，兩天，兩杯酒。,桌上有兩杯牛奶。
66,六,六,1,306,208,14595 15298,liù,liù,,N,six,六個，六張，六年。,我買了六個雞蛋。
67,路,路,1,300,352,15338,lù,lù,,N,"road,street",一條路，路上，路邊。,這條路上有很多車。我住在一心路。
68,嗎,吗,1,945,1760,3600 3585,ma,ma,,Ptc,final interrogative particle,真的嗎，是……嗎。,你是老師嗎？你吃飯了嗎？
69,買,买,1,262,449,3795,mǎi,mǎi,,V,to buy,買……給……。,他買了一輛新車。媽媽買了一件新衣服給我。
70,媽媽/媽,妈妈/妈,1,402,1342,,māma/ma,māma/ma,"[{""Traditional"": ""媽媽"", ""Simplified"": ""妈妈"", ""Pinyin"": ""māma"", ""PinyinYB"": ""māma"", ""MOE"": ""3519""}, {""Traditional"": ""媽"", ""Simplified"": ""妈"", ""Pinyin"": ""ma"", ""PinyinYB"": ""ma"", ""MOE"": ""3518""}]",N,mother,我媽媽。,我媽媽喜歡看電影。媽媽，生日快樂。
71,沒,没,1,1269,1260,3846 3710,méi,méi,,Adv,"do not have / there is not, not exist / haven't had",沒錢，沒時間。,我沒錢了，今天不能跟你們去看電影。 / 教室裡沒人。我家附近沒好吃的餐廳。 / 我沒吃過台灣的小吃。他昨天沒來上課。我還沒吃早飯。
72,沒關係,没关系,1,27,107,3856,méiguānxi,méiguānxi,,Ph,It's ok. That’s fine. It doesn't matter…,,A：「對不起！」 B：「沒關係！」你不去沒關係，我自己去。
73,妹妹/妹,妹妹/妹,1,95,83,,mèimei/mèi,mèimei/mèi,"[{""Traditional"": ""妹妹"", ""Simplified"": ""妹妹"", ""Pinyin"": ""mèimei"", ""PinyinYB"": ""mèimei"", ""MOE"": ""3985""}, {""Traditional"": ""妹"", ""Simplified"": ""妹"", ""Pinyin"": ""mèi"", ""PinyinYB"": ""mèi"", ""MOE"": ""3984""}]",N,younger sister,他妹妹，我的妹妹。,她的妹妹是我的同學。
74,沒有,没有,1,2443,3355,3872,méiyǒu,méiyǒu,,Ph,"do not have / there is not, not exist",,他現在沒有時間出去玩。 / 我家附近沒有好吃的餐廳。
75,們,们,1,560,623,4262 45128,men,men,,N,nominal suffix indicating plural,孩子們，同學們。,同學們，上課了。
76,名字,名字,1,182,111,4842,míngzi,míngzi,,N,name,叫……名字，中文名字。,你叫什麼名字？我的名字是大明。
77,明天,明天,1,78,131,4882,míngtiān,míngtiān,,N,tomorrow,明天早上，明天九點。,明天是星期一。明天會下雨。你明天要不要和我一起去看電影？
78,拿,拿,1,298,343,12134,ná,ná,,V,to hold / to take,拿著（東西），拿給，拿到。,他手裡拿著一杯茶。 / 那本書，請你拿給我。
79,哪,哪,1,275,382,12151 12179 12964,nǎ,nǎ,,Det,which,哪個，哪國，哪天。,你是哪國人？
80,哪裡/哪裏/哪兒,哪里/哪里/哪儿,1,221,307,,nǎlǐ/nǎlǐ/nǎr,nǎlǐ/nǎlǐ/nǎr,"[{""Traditional"": ""哪裡"", ""Simplified"": ""哪里"", ""Pinyin"": ""nǎlǐ"", ""PinyinYB"": ""nǎlǐ"", ""MOE"": ""45213""}, {""Traditional"": ""哪裏"", ""Simplified"": ""哪里"", ""Pinyin"": ""nǎlǐ"", ""PinyinYB"": ""nǎlǐ"", ""MOE"": """"}, {""Traditional"": ""哪兒"", ""Simplified"": ""哪儿"", ""Pinyin"": ""nǎr"", ""PinyinYB"": ""nǎr"", ""MOE"": """"}]",N,where,去哪裡，到哪裡，在哪裡，從哪裡。,你週末要去哪裡？
81,那/那裡/那裏/那兒,那/那里/那里/那儿,1,3314,9035,,nà/nàlǐ/nàr,nà/nàlǐ/nàr,"[{""Traditional"": ""那"", ""Simplified"": ""那"", ""Pinyin"": ""nà"", ""PinyinYB"": ""nà"", ""MOE"": ""12130 12145 12170""}, {""Traditional"": ""那裡"", ""Simplified"": ""那里"", ""Pinyin"": ""nàlǐ"", ""PinyinYB"": ""nàlǐ"", ""MOE"": ""12148 12173""}, {""Traditional"": ""那裏"", ""Simplified"": ""那里"", ""Pinyin"": ""nàlǐ"", ""PinyinYB"": ""nàlǐ"", ""MOE"": """"}, {""Traditional"": ""那兒"", ""Simplified"": ""那儿"", ""Pinyin"": ""nàr"", ""PinyinYB"": ""nàr"", ""MOE"": """"}]",N,there,在那裡，從那裡，到那裡，去那裡。,A：「我的書在哪裡？」 B：「在老師那裡。」我很喜歡台灣，那裡有我喜歡的同學和老師。
82,難,难,1,307,415,12436 12496,nán,nán,,Vs,difficult / bad,難看，難吃，難聽。,我覺得中文很難。這個字很難寫。 / 這部電影很難看。這杯咖啡很難喝。
83,呢,呢,1,800,1792,12181 12563,ne,ne,,Ptc,final particle (for query),,我想喝咖啡，你想喝什麼呢？我是台灣人，你呢？
84,你,你,1,5891,8736,12572,nǐ,nǐ,,N,you,,你今天午餐想吃什麼？他很喜歡你。
85,妳,你,1,463,1653,12580,nǐ,nǐ,,N,you (female),,妳好，我是妳的同學。
86,你們,你们,1,409,1299,12573,nǐmen,nǐmen,,N,you (plural),,你們今天想去哪裡玩？我想請你們來我家喝咖啡。
87,年,年,1,1952,2976,12761,nián,nián,,M,year,每年，一年，二十年。,我在台灣住了三年。
88,您,您,1,347,764,12880,nín,nín,,N,honorific for ‘‘you’’,謝謝您，您好。,您好，我是王小明。請問您姓什麼？
89,女兒,女儿,1,220,168,13132,nǚ'ér,nǚ'ér,,N,daughter,我女兒，小女兒。,我有兩個女兒。
90,朋友,朋友,1,445,464,2895,péngyǒu,péngyǒu,,N,friend,三個朋友，好朋友，老朋友。,我有很多外國朋友。
91,七,七,1,240,151,24344,qī,qī,,N,seven,七個，七張，七天。,一個星期有七天。
92,前,前,1,1041,807,25160,qián,qián,,N,in front of / before / previous,在＋（東西）前，三天前，一年前，前兩天，前一課。,他站在桌子前跟我說話。 / 我一年前來台灣學中文。 / 這件是我前兩天買的新衣服。
93,錢,钱,1,365,489,25262,qián,qián,,N,money,一塊錢，多少錢。,這個東西多少錢？這本書，兩百五十塊錢。
94,千,千,1,70,75,25049,qiān,qiān,,N,thousand,三千人，一千元。,桌上有一千元。
95,請,请,1,488,447,23806 25806,qǐng,qǐng,,V,"please / to stand treat / to invite / to request, to ask",請坐，請說，請您……。,請給我一杯牛奶。上中文課的時候，請說中文。 / 我請你喝咖啡。 / 下星期六請你來我家玩。 / 你可以請朋友幫你叫計程車。
96,請問,请问,1,24,94,25823,qǐngwèn,qǐngwèn,,Ph,May I ask......?,,請問車站怎麼去？請問這個字怎麼唸？
97,去,去,1,2059,4057,25953,qù,qù,,V,to go,去（……）＋地方，去那裡，一起去……。,我去朋友家吃飯。
98,去年,去年,1,36,126,25954,qùnián,qùnián,,N,last year,去年三月。,這件衣服是去年買的。
99,熱,热,1,87,262,35919,rè,rè,,Vs,hot,天氣熱，熱茶，熱水。,今天好熱！我要一杯熱咖啡。
100,人,人,1,6185,4296,36052,rén,rén,,N,"person, people / human being",,教室裡有十五個人。 / 人都要吃飯、喝水。
101,日,日,1,275,133,35857,rì,rì,,M,day,每日，一日。,一年有三百六十五日。
102,容易,容易,1,362,404,36569,róngyì,róngyì,,Vs,easy,,天氣冷的時候容易感冒。學中文不是一件容易的事。
103,三,三,1,1267,868,38847,sān,sān,,N,three,三個，三張，三年。,桌上有三個碗。
104,上,上,1,4977,3509,34855 34869,shàng,shàng,,N/V,"on, above / in the (tree, car) / previous / up to / to get on, to get into",上面，桌上，床上，車上，樹上，上個星期，上個月，上樓，上去，上車，上公車，上火車，上飛機。,桌上有一杯咖啡。他在床上睡覺。 / 車上有五個人。 / 我上個月去日本玩。 / 我上樓去拿書。 / 公車來了，快上車吧！
105,上午,上午,1,26,14,34967,shàngwǔ,shàngwǔ,,N,morning,今天上午，每天上午，上午十點。,我們明天上午不上課。
106,少,少,1,204,340,34055 34062,shǎo,shǎo,,Vs/Vp,"less, little, few / lack, short",少一點，少一個人。,我會寫的中文字很少。 / 少一個人，就不能打球。
107,誰,谁,1,456,283,34016,shéi,shéi,,N,"who, whom",誰的。,誰要喝咖啡？你知道那個人是誰嗎？這枝筆是誰的？
108,什麼/甚麼,什么/甚么,1,1754,2650,,shénme,shénme,"[{""Traditional"": ""什麼"", ""Simplified"": ""什么"", ""Pinyin"": ""shénme"", ""PinyinYB"": ""shénme"", ""MOE"": ""34679""}, {""Traditional"": ""甚麼"", ""Simplified"": ""甚么"", ""Pinyin"": ""shénme"", ""PinyinYB"": ""shénme"", ""MOE"": ""34681""}]",N,what,做什麼，是什麼，買什麼，什麼事，什麼人，什麼N。,你今天在學校學了什麼？你晚餐想吃什麼東西？
109,十,十,1,320,293,33264,shí,shí,,N,ten,十個，十張，十年，十分鐘。,我住在這裡十年了。
110,是,是,1,18291,28602,33694,shì,shì,,Vs,be / yes,這是，不是，是的。,他是老師，不是醫生。那是我的車。這個字是什麼意思？今天是星期天。 / A：「這是你的書嗎？」 B：「是的。」
111,時候,时候,1,844,3606,33375,shíhòu,shíhòu,,N,"time, period",什麼時候，V的時候。,他什麼時候回來？上課的時候不可以睡覺。
112,時間,时间,1,865,1063,33379,shíjiān,shíjiān,,N,"time / period / free time, spare time",上課時間，時間不長，有時間，沒時間。,現在的時間是十點十五分。吃飯的時間到了。 / 他學中文的時間不長。 / 我今天沒時間跟你們去玩。
113,手機,手机,1,39,61,45231,shǒujī,shǒujī,,N,cell phone,一支手機。,你看到我的手機了嗎？
114,書,书,1,767,457,35309,shū,shū,,N,book,一本書，看書。,你在看什麼書？這本書很有意思。
115,水,水,1,342,1245,35591,shuǐ,shuǐ,,N,water,一杯水，喝水。,我喝了一杯水。水裡面有魚。
116,睡覺,睡觉,1,65,88,35740 35741,shuìjiào,shuìjiào,,V,to sleep,,他在房間裡睡覺。
117,說,说,1,5312,6283,35509 35731 44631,shuō,shuō,,V,"to say, to tell , to talk, to speak",跟……說，說中文。,你說什麼，我聽不懂。他跟我說他明天不會來。我會說中文也會說英文。
118,四,四,1,553,423,38637,sì,sì,,N,four,四個，四張，四分鐘。,昨天我上了四個鐘頭的課。
119,歲,岁,1,574,521,39217,suì,suì,,M,classifier for age,二十歲，幾歲。,你今年幾歲？我今年十七歲。
120,她,她,1,4568,2329,9922,tā,tā,,N,"she, her (object)",,她唱歌很好聽。老師問她一個問題。
121,他,他,1,10261,6366,9908,tā,tā,,N,"he, him",,他唱歌很好聽。老師問他一個問題。
122,他們,他们,1,2945,3036,9909,tāmen,tāmen,,N,"they, them",,他們晚上要去公園。我想請他們來我家吃飯。
123,太,太,1,718,891,10088,tài,tài,,Adv,"too, extremely",太多，太久，太大，太小，太好了，太累。,這件衣服太貴了。今天的功課太多了。太好了！今天沒下雨。
124,太太,太太,1,276,131,10100,tàitai,tàitai,,N,"wife / Mrs., madame",我太太，人＋的太太，王太太。,這位是我太太。 / 王太太，你好。
125,台灣/臺灣,台湾,1,522,1445,,táiwān,táiwān,"[{""Traditional"": ""台灣"", ""Simplified"": ""台湾"", ""Pinyin"": ""táiwān"", ""PinyinYB"": ""táiwān"", ""MOE"": """"}, {""Traditional"": ""臺灣"", ""Simplified"": ""台湾"", ""Pinyin"": ""táiwān"", ""PinyinYB"": ""táiwān"", ""MOE"": ""10079""}]",,,,
126,臺灣人/台灣人,台湾人,1,5,11,,táiwānrén,táiwānrén,"[{""Traditional"": ""臺灣人"", ""Simplified"": ""台湾人"", ""Pinyin"": ""táiwānrén"", ""PinyinYB"": ""táiwānrén"", ""MOE"": """"}, {""Traditional"": ""台灣人"", ""Simplified"": ""台湾人"", ""Pinyin"": ""táiwānrén"", ""PinyinYB"": ""táiwānrén"", ""MOE"": """"}]",N,Taiwanese,,我是臺（台）灣人，你呢？
127,天,天,1,1520,1616,11072,tiān,tiān,,M,day(s),每天，兩天。,我每天六點起床。我每個星期上三天的課。
128,聽,听,1,615,409,11309 11394,tīng,tīng,,V,"to listen to, to hear",,你說得太快，我聽不懂。你們不要說話，聽老師說。你聽，誰在外面說話？
129,同學,同学,1,106,267,11998,tóngxué,tóngxué,,N,classmate,,我們兩個是同學。
130,外,外,1,388,298,43186,wài,wài,,N,outside of,外面，門外。,他站在門外。我到教室外等你。
131,晚安,晚安,1,7,6,43752,wǎn'ān,wǎn'ān,,Ph,good night,,我在睡覺前會跟爸爸媽媽說晚安。
132,晚上,晚上,1,189,188,43749,wǎnshàng,wǎnshàng,,N,at night,今天晚上，晚上十點。,今天晚上要不要一起去吃飯？
133,位,位,1,1145,1031,43547,wèi,wèi,,M,classifier for people,一位老師，這位同學，這位先生，那位小姐。,請問教室裡有幾位同學？
134,問,问,1,694,451,43974,wèn,wèn,,V,to ask (about),問問題。,他問我教室在哪裡？
135,問題,问题,1,1138,1105,43978,wèntí,wèntí,,N,question / problem,一個問題，那些問題，問問題，有問題。,他問我一些問題。 / 這個電腦有問題。
136,我,我,1,13149,16244,43141,wǒ,wǒ,,N,"I, me",我的。,我喜歡喝茶。我是醫生。他給我一本書。
137,我們,我们,1,4150,12537,43143,wǒmen,wǒmen,,N,"we, us",我們這裡，我們的，我們學校。,我們這裡有三十個人。老師教我們寫中文字。
138,五,五,1,444,360,42899,wǔ,wǔ,,N,five,五個，五張，五年。,餐廳裡只有五個人。
139,想,想,1,1876,2025,28021,xiǎng,xiǎng,,V/Vaux/Vs,to think / want to / to miss,想吃，想（V）……，想家。,你在想什麼？ / 他們明天想去山上走走。你想去看電影嗎？ / 我來台灣六個月了，現在很想家。
140,先生,先生,1,862,274,27312,xiānshēng,xiānshēng,,N,Mister (Mr.) (honorific) / husband,張先生，兩位先生，我先生，人＋的先生。,王先生，您好。 / 我跟我先生都是老師。
141,現在,现在,1,884,2365,27495,xiànzài,xiànzài,,N,now,,我現在沒時間，等一下再說。現在是下午三點。從昨天晚上到現在都在下雨。
142,小,小,1,1281,1334,26956,xiǎo,xiǎo,,Vs,"small, little,young",衣服太小，小杯，小碗，比……小。,這件衣服太小了，我穿不下。我早上喝了一小杯牛奶。我妹妹比我小四歲。
143,小孩/小孩子,小孩/小孩子,1,240,547,,xiǎohái/xiǎoháizi,xiǎohái/xiǎoháizi,"[{""Traditional"": ""小孩"", ""Simplified"": ""小孩"", ""Pinyin"": ""xiǎohái"", ""PinyinYB"": ""xiǎohái"", ""MOE"": """"}, {""Traditional"": ""小孩子"", ""Simplified"": ""小孩子"", ""Pinyin"": ""xiǎoháizi"", ""PinyinYB"": ""xiǎoháizi"", ""MOE"": """"}]",N,"kids, child, childern / son, daughter",兩個小孩，這個小孩，有……個小孩。,有很多小孩在公園玩。 / 我有兩個小孩。
144,小姐,小姐,1,273,50,27009,xiǎojiě,xiǎojiě,,N,"Miss, lady / young lady",姓＋小姐，一位小姐。,王小姐，早。小姐，您請坐。 / 王先生，外面有一位小姐找你。
