ID,Traditional,Simplified,Level,WritingFreq,SpeakingFreq,MOE,PinyinYB,Pinyin,Variants,POS,Meaning,Compounds,Examples
1164,時鐘/鐘,时钟/钟,3*,29,15,,shízhōng/zhōng,shízhōng/zhōng,"[{""Traditional"": ""時鐘"", ""Simplified"": ""时钟"", ""Pinyin"": ""shízhōng"", ""PinyinYB"": ""shízhōng"", ""MOE"": ""33391""}, {""Traditional"": ""鐘"", ""Simplified"": ""钟"", ""Pinyin"": ""zhōng"", ""PinyinYB"": ""zhōng"", ""MOE"": ""31253""}]",N,clock,一個時鐘。,在火車站外面一般會有很大的時鐘。
1165,市區,市区,3*,13,18,33528,shìqū,shìqū,,N,downtown,台南市區。,他剛從鄉下搬到市區，還不太習慣。
1166,熟,熟,3*,31,52,34145,shóu,shóu,,Vp/Vs,"cooked (food) / ripe (fruit), mature (seeds) / familiar",食物熟了，水果熟了，熟人。,沒有熟的是米，熟了的是飯。 / 這顆木瓜還沒熟，過兩天再吃。 / 我天天去那家飲料店，跟店員都很熟。
1167,數,数,3*,137,66,35410 35458 35553 38296,shǔ,shǔ,,V,to count,數錢。,你數一數，這裡有幾個人？
1168,刷,刷,3*,14,26,35493,shuā,shuā,,N/V,brush / to clean with a brush,刷子，牙刷，刷牙。,他用刷子，把浴室刷得很乾淨。 / 我吃完飯後就刷牙。
1169,書法,书法,3*,16,11,35319,shūfǎ,shūfǎ,,N,calligraphy,寫書法。,他對書法有興趣，很想學。
1170,書架,书架,3*,14,3,35331,shūjià,shūjià,,N,"bookshelf, bookcase",,我非常喜歡看書，房間裡的書架上放了很多書。
1171,書桌,书桌,3*,15,8,35343,shūzhuō,shūzhuō,,N,desk,一張書桌。,我的房間裡有一張很大的書桌。
1172,睡衣,睡衣,3*,7,1,35743,shuìyī,shuìyī,,N,pajamas,一件睡衣，一套睡衣。,洗澡以後穿上睡衣，我就上床睡覺了。
1173,速度,速度,3*,118,111,39055,sùdù,sùdù,,N,speed,,人跑步的速度一定比汽車慢。
1174,孫女,孙女,3*,10,7,39252,sūnnǚ,sūnnǚ,,N,granddaughter,外孫女。,今天早上，我在公園看見一位奶奶在教他的孫女騎腳踏車。
1175,孫子,孙子,3*,40,31,39253 39254,sūnzi,sūnzi,,N,grandson,,爺爺每天晚上給孫子說故事。
1176,鎖,锁,3*,22,11,39153,suǒ,suǒ,,N/V,lock / to lock,門鎖，一道鎖，鎖門，鎖上，鎖起來。,我把鑰匙弄丟了，沒辦法把這個鎖打開。 / 最後一個離開教室的人要鎖門。
1177,談,谈,3*,181,217,10462,tán,tán,,V,"to talk, to talk about, to discuss",,你現在有空嗎？我想跟你談一談這個計畫。
1178,討論,讨论,3*,213,149,10237,tǎolùn,tǎolùn,,V/N,to discuss / discussion,A跟B討論。,這個問題我們跟他已經討論許多次了。 / 這次的討論沒有結果。
1179,套餐,套餐,3*,1,3,10259,tàocān,tàocān,,N,set meal,一份套餐。,我每次到速食餐廳，都點套餐。
1180,題,题,3*,16,62,10750,tí,tí,,M,classifier for examination questions,一題。,這次的考試題目一共有二十題。
1181,題目,题目,3*,37,27,10753,tímù,tímù,,N,"topic, title, examination questions",這個題目，作文題目，考試題目。,老師叫我們寫作文，題目是「我最喜歡的台灣小吃」。這次考試的題目很多，我沒寫完。
1182,廳,厅,3*,9,4,11332,tīng,tīng,,N,hall,音樂廳，大廳。,今天晚上在國家音樂廳有一場音樂會。
1183,同班,同班,3*,5,5,11947,tóngbān,tóngbān,,Ph,to be in the same class,同班同學，和……同班。,我和他從小學到高中都是同班同學。
1184,同時,同时,3*,413,253,12007,tóngshí,tóngshí,,Adv/Conj,at the same time / also,同時也。,他同時學中文和台語兩種語言。 / 他在學中文，同時也在學校教日文。
1185,同樣,同样,3*,250,156,12018,tóngyàng,tóngyàng,,Vs,same,,同樣的事情，但是每個人有不同的做法。我和他同樣都學中文，但是學的時間不一樣長。
1186,偷,偷,3*,43,25,10263,tōu,tōu,,V,to steal,偷東西，偷走。,我的錢包被偷了。
1187,拖鞋,拖鞋,3*,4,12,11606,tuōxié,tuōxié,,N,slippers,一雙拖鞋。,爬山不適合穿拖鞋。進屋請把鞋子脫掉，換拖鞋。
1188,外公/外祖父,外公/外祖父,3*,12,13,,wàigong/wàizǔfù,wàigong/wàizǔfù,"[{""Traditional"": ""外公"", ""Simplified"": ""外公"", ""Pinyin"": ""wàigong"", ""PinyinYB"": ""wàigong"", ""MOE"": ""43214""}, {""Traditional"": ""外祖父"", ""Simplified"": ""外祖父"", ""Pinyin"": ""wàizǔfù"", ""PinyinYB"": ""wàizǔfù"", ""MOE"": ""43265""}]",N,mother's father,,我的外公是小學老師。
1189,外婆/外祖母,外婆/外祖母,3*,15,20,,wàipó/wàizǔmǔ,wàipó/wàizǔmǔ,"[{""Traditional"": ""外婆"", ""Simplified"": ""外婆"", ""Pinyin"": ""wàipó"", ""PinyinYB"": ""wàipó"", ""MOE"": ""43193""}, {""Traditional"": ""外祖母"", ""Simplified"": ""外祖母"", ""Pinyin"": ""wàizǔmǔ"", ""PinyinYB"": ""wàizǔmǔ"", ""MOE"": ""43264""}]",N,mother's mother,,我小時候常去外婆家玩。
1190,完,完,3*,49,95,43649,wán,wán,,Vp,"completely, whole",看完，說完，用完，寫完。,我一個禮拜就可以看完這本書。
1191,完全,完全,3*,461,302,43664,wánquán,wánquán,,Adv,completely,,我完全不知道這件事！
1192,蚊子,蚊子,3*,10,29,43924,wénzi,wénzi,,N,mosquito,一隻蚊子。,我不喜歡夏天，因為夏天蚊子很多。
1193,臥房,卧房,3*,12,1,43155,wòfáng,wòfáng,,N,bedroom,一間臥房。,他的臥房在二樓。
1194,臥室,卧室,3*,18,4,43162,wòshì,wòshì,,N,bedroom,一間臥室。,他的臥室又大又乾淨。
1195,污染/汙染,污染,3*,26,162,,wūrǎn,wūrǎn,"[{""Traditional"": ""污染"", ""Simplified"": ""污染"", ""Pinyin"": ""wūrǎn"", ""PinyinYB"": ""wūrǎn"", ""MOE"": """"}, {""Traditional"": ""汙染"", ""Simplified"": ""污染"", ""Pinyin"": ""wūrǎn"", ""PinyinYB"": ""wūrǎn"", ""MOE"": """"}]",V/N,to pollute / pollution,污染空氣，污染環境，空氣污染，環境污染，水汙染。,這條河污染得很嚴重，河裡的魚都死了。 / 現代人都很關心環境汙染的問題。
1196,現代,现代,3*,130,67,27465,xiàndài,xiàndài,,N,modern times,現代社會，現代生活，現代人。,網路讓現代生活越來越方便。
1197,香味,香味,3*,14,22,27965,xiāngwèi,xiāngwèi,,N,fragrance,聞到香味。,我聞到烤麵包的香味，這附近有麵包店嗎？
1198,鄉下,乡下,3*,25,37,27976,xiāngxià,xiāngxià,,N,countryside,,她非常喜歡台灣鄉下的風景，希望可以再去玩。
