ID,Traditional,Simplified,Level,Context,WritingFreq,SpeakingFreq,MOE,Zhuyin,Pinyin,POS,Meaning,Compounds,Examples
10397,發揚光大,发扬光大,7,,4,5,"[[""發揚光大"", [""5207""]]]",ㄈㄚ ㄧㄤˊ ㄍㄨㄤ ㄉㄚˋ,fāyángguāngdà,,,,
10398,發源地,发源地,7,,2,7,"[[""發源地"", [""5213""]]]",ㄈㄚ ㄩㄢˊ ㄉㄧˋ,fāyuándì,,,,
10399,翻版,翻版,7,,3,1,"[[""翻版"", [""5486""]]]",ㄈㄢ ㄅㄢˇ,fānbǎn,,,,
10400,範本,范本,7,,7,2,"[[""範本"", [""5667""]]]",ㄈㄢˋ ㄅㄣˇ,fànběn,,,,
10401,帆布,帆布,7,,4,4,"[[""帆布"", [""5526""]]]",ㄈㄢ ㄅㄨˋ,fānbù,,,,
10402,反動,反动,7,,7,0,"[[""反動"", [""5599""]]]",ㄈㄢˇ ㄉㄨㄥˋ,fǎndòng,,,,
10403,繁多,繁多,7,,5,3,"[[""繁多"", [""5559""]]]",ㄈㄢˊ ㄉㄨㄛ,fánduō,,,,
10404,凡夫俗子,凡夫俗子,7,,2,0,"[[""凡夫俗子"", [""5518""]]]",ㄈㄢˊ ㄈㄨ ㄙㄨˊ ㄗˇ,fánfūsúzǐ,,,,
10405,反覆無常,反复无常,7,,2,1,"[[""反覆無常"", [""5595""]]]",ㄈㄢˇ ㄈㄨˋ ㄨˊ ㄔㄤˊ,fǎnfùwúcháng,,,,
10406,反攻,反攻,7,,7,1,"[[""反攻"", [""5604""]]]",ㄈㄢˇ ㄍㄨㄥ,fǎngōng,,,,
10407,泛黃,泛黄,7,,2,2,[],ㄈㄢˋ ㄏㄨㄤˊ,fànhuáng,,,,
10408,反悔,反悔,7,,3,2,"[[""反悔"", [""5611""]]]",ㄈㄢˇ ㄏㄨㄟˇ,fǎnhuǐ,,,,
10409,翻來覆去,翻来覆去,7,,3,1,"[[""翻來覆去"", [""5492""]]]",ㄈㄢ ㄌㄞˊ ㄈㄨˋ ㄑㄩˋ,fānláifùqù,,,,
10410,泛濫,泛滥,7,,2,1,"[[""泛濫"", [""5678""]]]",ㄈㄢˋ ㄌㄢˋ,fànlàn,,,,
10411,藩籬,藩篱,7,,3,5,"[[""藩籬"", [""5545""]]]",ㄈㄢˊ ㄌㄧˊ,fánlí,,,,
10412,繁茂,繁茂,7,,3,3,"[[""繁茂"", [""5554""]]]",ㄈㄢˊ ㄇㄠˋ,fánmào,,,,
