Traditional,Simplified,Pinyin,Meaning
毛,毛,máo,"M, N: dime, ten cents [PAVC-104]; fair, fur, bristles [PAVC-407]"
那,那,nà,DEM: that [PAVC-104]
那,那,nèi,DEM: that [PAVC-104]
七,七,qī,NU: seven [PAVC-104]
錢,钱,qián,N: money [PAVC-104]; a Chinese surname [PAVC-203]
請,请,qǐng,"V: to please, to invite [PAVC-104]; to hire someone to do something [PAVC-303]"
三,三,sān,NU: three [PAVC-104]
少,少,shǎo,"SV: few, less [PAVC-104]"
十,十,shí,NU: ten [PAVC-104]
四,四,sì,NU: four [PAVC-104]
位,位,wèi,M: polite measure word for people [PAVC-104]
五,五,wǔ,NU: five [PAVC-104]
一,一,yī,NU: one [PAVC-104]
一共,一共,yígòng,"A: in total, altogether [PAVC-104]"
找,找,zhǎo,"V: to return change after a purchase [PAVC-104]; V: to look for, search (also ～到) [PAVC-110]"
找錢,找钱,zhǎoqián,VO: to give change back to someone after a purchase [PAVC-104]
枝,枝,zhī,M: measure word for stick-like things [PAVC-104]
種,种,zhǒng,"M: kind, type [PAVC-104]"
爸爸,爸爸,bàba,N: father [PAVC-105]
杯子,杯子,bēizi,N: cup [PAVC-105]
伯伯,伯伯,bóbo,"N: uncle, father's elder brother, polite title for elderly gentleman [PAVC-105] [PAVC-411]"
的,的,de,P: possesive or modifying particle [PAVC-105]
弟弟,弟弟,dìdi,N: younger brother [PAVC-105]
對,对,duì,"SV, CV: to be correct [PAVC-105]; to, toward, for [PAVC-203]"
兒,儿,ér,BF: son [PAVC-105]
兒子,儿子,érzi,N: son [PAVC-105]
兒,儿,er,"P: a suffix, especially in Northern dialects [PAVC-105]"
哥哥,哥哥,gēge,N: older brother [PAVC-105]
狗,狗,gǒu,N: dog [PAVC-105]
還是,还是,háishì,CONJ: or [PAVC-105]
孩子,孩子,háizi,N: child [PAVC-105]
姐姐,姐姐,jiějie,N: elder sister [PAVC-105]
老師,老师,lǎoshī,N: teacher [PAVC-105]
媽媽,妈妈,māma,N: mother [PAVC-105]
貓,猫,māo,N: cat [PAVC-105]
妹妹,妹妹,mèimei,N: younger sister [PAVC-105]
男,男,nán,BF: male [PAVC-105]
男孩子,男孩子,nánháizi,N: boy (also ～兒～) [PAVC-105]
男朋友,男朋友,nánpéngyǒu,N: boyfriend [PAVC-105]
男人,男人,nánrén,N: man [PAVC-105]
那些,那些,nèixiē,DEM: those [PAVC-105]
女,女,nǚ,BF: female [PAVC-105]
女兒,女儿,nǚ'ér,N: daughter [PAVC-105]
女孩子,女孩子,nǚháizi,N: girl (also ～兒～) [PAVC-105]
女朋友,女朋友,nǚpéngyǒu,N: girlfriend [PAVC-105]
女人,女人,nǚrén,N: woman [PAVC-105]
朋友,朋友,péngyǒu,N: friend; (小～) children [PAVC-105]
像片兒,像片儿,xiàngpiànr,N: photograph [PAVC-105]
學,学,xué,V: to study [PAVC-105]
學生,学生,xuéshēng,N: student [PAVC-105]
一些,一些,yìxiē,"NU: some, a few [PAVC-105]"
有的,有的,yǒude,"N: some, some of [PAVC-105]"
這些,这些,zhèixiē,DEM: these [PAVC-105]
子,子,zi,P: a noun suffix [PAVC-105]
百,百,bǎi,NU: hundred [PAVC-106]
錶,表,biǎo,N: watch (also 手～) [PAVC-106]
大,大,dà,"SV: to be big, to be large [PAVC-106]"
大學,大学,dàxué,N: university [PAVC-106]
電視機,电视机,diànshìjī,N: TV set [PAVC-106]
夠,够,gòu,SV: to be enough (also ～了) [PAVC-106]
機,机,jī,BF: machine [PAVC-106]
舊,旧,jiù,"SV: to be old, to be used [PAVC-106]"
覺得,觉得,juéde,"V: to feel, to think, to consider [PAVC-106]"
了,了,le,"P: indicates excessiveness, change of state, or imminent action [PAVC-106]; P: indicates completion of action [PAVC-110]"
賣,卖,mài,V: to sell [PAVC-106]
便宜,便宜,piányí,SV: to be cheap [PAVC-106]
千,千,qiān,NU: thousand [PAVC-106]
請問,请问,qǐngwèn,"PH: excuse me, may I ask? [PAVC-106]"
萬,万,wàn,NU: ten thousand [PAVC-106]
問,问,wèn,V: to ask [PAVC-106]
想,想,xiǎng,"AV, V: to want to, to plan to; to think, to miss [PAVC-106]"
像機,像机,xiàngjī,N: camera [PAVC-106]
小,小,xiǎo,SV: to be small [PAVC-106]
新,新,xīn,"S, A: to be new; newly [PAVC-106]"
學校,学校,xuéxiào,N: school [PAVC-106]
億,亿,yì,NU: one hundred million [PAVC-106]
有名,有名,yǒumíng,SV: to be famous [PAVC-106]
照,照,zhào,"V: to photograph [PAVC-106]; N: (～片) photograph; A: as usual, as before, as of old (followed by a verb) [PAVC-413]; V: to reflect, to mirror [PAVC-518]"
照像機,照像机,zhàoxiàngjī,N: camera (also written with 相) [PAVC-106]
