Traditional,Simplified,Pinyin,Meaning
興奮,兴奋,xīngfèn,SV: to be excited [PAVC-312]
球隊,球队,qiúduì,N: ball team (M: 支) [PAVC-312]
校隊,校队,xiàoduì,N: school team [PAVC-312]
球員,球员,qiúyuán,N: ball player [PAVC-312]
轉播,转播,zhuǎnbò,"V: to relay, to broadcast from the site (of radio or TV broadcast) [PAVC-312]"
廣播,广播,guǎngbò,"N, V: a broadcast; to broadcast [PAVC-312]"
播出,播出,bòchū,"V: to broadcast, transmit [PAVC-312]"
播,播,bò,V: to broadcast [PAVC-312]
收音機,收音机,shōuyīnjī,"N: radio, radio set [PAVC-312] [PAVC-401]"
放鞭炮,放鞭炮,fàngbiānpào,VO: to set off firecrackers [PAVC-312]
煙火,烟火,yānhuǒ,N: fireworks [PAVC-312]
鞭炮,鞭炮,biānpào,N: firecracker (M: 串) [PAVC-312]
串,串,chuàn,M: measure word for a bunch or a cluster of something [PAVC-312]
投手,投手,tóushǒu,N: pitcher (in the game of baseball) [PAVC-312]
一連,一连,yìlián,"A: in succession, one after another [PAVC-312]"
壞球,坏球,huàiqiú,"N: ""ball"" (a pitch outside the ""strike"" zone in baseball) [PAVC-312]"
好球,好球,hǎoqiú,"N: ""strike"" (in baseball) [PAVC-312]"
局,局,jú,"M: measure word for time periods in sports games: a set in tennis, an inning in baseball, etc. [PAVC-312]"
出局,出局,chūjú,"V: to be ""out"" (in baseball) [PAVC-312]"
全壘打,全垒打,quánlěidǎ,N: home run (in baseball) (M: 支) [PAVC-312]
安打,安打,āndǎ,"N: base hit, safe hit (in baseball) (M: 支) [PAVC-312]"
一壘,一垒,yìlěi,N: first base (in baseball) [PAVC-312]
二壘,二垒,èrlěi,N: second base (in baseball) [PAVC-312]
三壘,三垒,sānlěi,N: third base (in baseball) [PAVC-312]
本壘,本垒,běnlěi,N: home base (in baseball) [PAVC-312]
啦啦隊,啦啦队,lālāduì,N: cheerleaders [PAVC-312]
花錢,花钱,huāqián,"VO, SV: to spend money; to be uneconomical [PAVC-312]"
花時間,花时间,huāshíjiān,"VO, SV: to spend time, to take up time; to be time-consuming [PAVC-312]"
職業,职业,zhíyè,"N, AT: occupation, profession; professional [PAVC-312]"
職員,职员,zhíyuán,"N: clerk, employee [PAVC-312]"
捐錢,捐钱,juānqián,"VO: to contribute, donate money [PAVC-312]"
捐,捐,juān,"V: to contribute, to donate [PAVC-312]"
中華隊,中华队,Zhōnghuáduì,N: official name of the Taiwanese (Republic of China) team at international sports events [PAVC-312]
過節,过节,guòjié,VO: to celebrate a festival or holiday [PAVC-313]
母親節,母亲节,Mǔqīnjié,N: Mother's Day [PAVC-313]
父親節,父亲节,Fùqīnjié,N: Father's Day [PAVC-313]
情人節,情人节,Qíngrénjié,N: Valentine's Day [PAVC-313]
反正,反正,fǎnzhèng,"A: anyway, anyhow, in any case [PAVC-313]"
反,反,fǎn,"V, RE, AT: to turn over, turn inside out; to be reversed [PAVC-313]"
效果,效果,xiàoguǒ,"N: effect, result [PAVC-313] [PAVC-401]"
可愛,可爱,kě'ài,"SV: to be lovable, likeable, adorable, cute [PAVC-313]"
火雞,火鸡,huǒjī,N: turkey (M: 隻) [PAVC-313]
磅,磅,bàng,M: a pound of [PAVC-313]
南瓜派,南瓜派,nánguāpài,N: pumpkin pie [PAVC-313]
南瓜,南瓜,nánguā,N: pumpkin [PAVC-313]
派,派,pài,"N, V: pie [PAVC-313]; to send, to dispatch, to assign [PAVC-401]"
南瓜燈,南瓜灯,nánguādēng,N: jack-o'-lantern [PAVC-313]
拿手,拿手,náshǒu,"SV: to be good at … , adept at … , to be an expert [PAVC-313]"
過敏,过敏,guòmǐn,V: to be allergic to something [PAVC-313]
嚐,尝,cháng,V: to taste [PAVC-313]
紀念,纪念,jìniàn,"N, V: commemoration; to commemorate [PAVC-313]"
祖先,祖先,zǔxiān,N: ancestors [PAVC-313]
祖父,祖父,zǔfù,"N: grandfather, father's father [PAVC-313]"
祖母,祖母,zǔmǔ,"N: grandmother, father's mother [PAVC-313]"
外祖父,外祖父,wàizǔfù,"N: grandfather, mother's father [PAVC-313]"
外祖母,外祖母,wàizǔmǔ,"N: grandmother, mother's mother [PAVC-313]"
土地,土地,tǔdì,"N: land, soil, territory (M: 塊, 片) [PAVC-313]"
豐衣足食,丰衣足食,fēngyīzúshí,IE: to be well-clothed and well-fed [PAVC-313]
基督教,基督教,Jīdūjiào,N: Christianity (in Taiwan the meaning is limited to Protestantism) [PAVC-313]
天主教,天主教,Tiānzhǔjiào,N: Catholicism [PAVC-313]
佛教,佛教,Fójiào,N: Buddhism [PAVC-313]
回教,回教,Huíjiào,N: Islam [PAVC-313] [PAVC-406]
道教,道教,Dàojiào,N: Taoism [PAVC-313]
信教,信教,xìnjiào,VO: to believe in a religion [PAVC-313]
相信,相信,xiāngxìn,"V: to believe, to have faith in [PAVC-313]"
趁著,趁著,chènzhe,"V: to take advantage of an opportunity or situation, to avail oneself of … [PAVC-313]"
趁,趁,chèn,"V: to take advantage of an opportunity or situation, to avail oneself of … [PAVC-313]"
吃喝玩樂,吃喝玩乐,chīhēwánlè,IE: to idle away one's time in the pursuit of pleasure [PAVC-313]
利用,利用,lìyòng,"V: to use, to take advantage of, to exploit [PAVC-313]"
做廣告,做广告,zuòguǎnggào,V: to advertise [PAVC-313]
廣告,广告,guǎnggào,N: advertisement [PAVC-313]
廣,广,guǎng,"SV: to be broad, extensive [PAVC-313]"
推銷,推销,tuīxiāo,V: to promote sales [PAVC-313]
推銷員,推销员,tuīxiāoyuán,N: salesperson [PAVC-313]
銷路,销路,xiāolù,"N: sales opportunity, market [PAVC-313]"
宗教,宗教,zōngjiào,N: religion [PAVC-313]
商業化,商业化,shāngyèhuà,"N, V, SV: commercialization; to commercialize; to be commercialized [PAVC-313]"
商業,商业,shāngyè,"N: commerce, trade, business [PAVC-313]"
商人,商人,shāngrén,"N: businessman, merchant, trader [PAVC-313]"
生意人,生意人,shēngyìrén,"N: businessman, merchant, trader [PAVC-313]"
商品,商品,shāngpǐn,"N: merchandise, goods, commodity [PAVC-313]"
歡歡喜喜,欢欢喜喜,huānhuānxǐxǐ,"SV: to be full of joy, extremely happy [PAVC-313]"
享受,享受,xiǎngshòu,"V, N: to enjoy; enjoyment [PAVC-313]"
溫暖,温暖,wēnnuǎn,"SV, N: to be warm; warmth [PAVC-313]"
氣氛,气氛,qìfēn,"N: atmosphere, mood [PAVC-313]"
除夕,除夕,chúxì,N: Lunar New Year's Eve [PAVC-313]
年夜飯,年夜饭,Niányèfàn,N: New Year's Eve Dinner [PAVC-313]
聖誕夜,圣诞夜,Shèngdànyè,N: Christmas Eve [PAVC-313]
耶穌,耶稣,Yēsū,N: Jesus [PAVC-313]
教堂,教堂,jiàotáng,"N: church, cathedral [PAVC-313]"
做禮拜,做礼拜,zuòlǐbài,VO: to attend a service at a (Protestant) church [PAVC-313]
感覺,感觉,gǎnjué,"V, N: to feel, sense, perceive; feeling, sense, perception [PAVC-313]"
銀色,银色,yínsè,AT: silver [PAVC-313]
等不及,等不及,děngbùjí,"RC: cannot bear to wait, unable to wait any longer [PAVC-313]"
裝飾,装饰,zhuāngshì,"V: to decorate, to adorn [PAVC-313]"
棵,棵,kē,"M: measure word for trees, cabbage, grass, etc. [PAVC-313]"
種,种,zhòng,V: to plant [PAVC-313]
開玩笑,开玩笑,kāiwánxiào,"VO: to make a joke at the expense of someone, to make fun of …, to laugh at … [PAVC-313]"
聖誕卡,圣诞卡,shèngdànkǎ,N: Christmas card (M: 張) [PAVC-313]
動畫,动画,dònghuà,"N: anime, animation [PAVC-313] [PAVC-404]"
生日卡,生日卡,shēngrìkǎ,N: birthday card [PAVC-313]
母親卡,母亲卡,mǔqīnkǎ,N: Mother's Day card [PAVC-313]
情人卡,情人卡,qíngrénkǎ,N: Valentine's Day card [PAVC-313]
信用卡,信用卡,xìnyòngkǎ,N: credit card [PAVC-313]
刷,刷,shuā,V: to swipe (a card) [PAVC-313]; to brush [PAVC-406]
卡片,卡片,kǎpiàn,N: card (M: 張) [PAVC-313]
忙碌,忙碌,mánglù,"SV: to be busy, to be bustling about (there is an error in Unicode 3.0 for this character, which should have 彔, not 录, as its component) [PAVC-313]"
現代人,现代人,xiàndàirén,N: modern man [PAVC-313]
現代化,现代化,xiàndàihuà,"N, V, SV: modernization; to become modernized; to be modernized [PAVC-313]"
現代,现代,xiàndài,"SV: to be modern, contemporary [PAVC-313]"
時代,时代,shídài,"N: times, age, era, epoch [PAVC-313]"
聯絡,联络,liánluò,"V, N: to make contact with, to communicate with; contact (「…合」的「…」) [PAVC-313]"
連絡,连络,liánluò,"V, N: to make contact with, to communicate with; contact　(「一…」的「…」) [PAVC-313]"
感情,感情,gǎnqíng,"N: emotion, sentiment, affection, feelings (between friends, relatives, etc.) [PAVC-313]"
萬聖節,万圣节,Wànshèngjié,N: Halloween [PAVC-313]
感恩節,感恩节,Gǎn'ēnjié,N: Thanksgiving Day [PAVC-313]
聖誕節,圣诞节,Shèngdànjié,N: Christmas [PAVC-313]
望彌撒,望弥撒,wàngmísā,VO: to attend a (Catholic) mass [PAVC-313]
小說,小说,xiǎoshuō,"N: novel, short story (M: 本, 篇) [PAVC-314]"
順便,顺便,shùnbiàn,"A: incidentally, on the way, as one passes [PAVC-314]"
意見,意见,yìjiàn,"N: view, opinion, idea [PAVC-314]"
橋,桥,qiáo,N: bridge (M: 座) [PAVC-314]
座,座,zuò,"M: measure word for mountains, bridges, and certain buildings [PAVC-314]"
塔,塔,tǎ,N: tower (M: 座) [PAVC-314]
城堡,城堡,chéngbǎo,N: castle (M: 座) [PAVC-314]
王子,王子,wángzǐ,N: prince (M: 位) [PAVC-314]
公主,公主,gōngzhǔ,N: princess (M: 位) [PAVC-314]
國王,国王,guówáng,N: king (M: 位) [PAVC-314]
女王,女王,nǚwáng,N: queen (M: 位) [PAVC-314]
羅曼蒂克,罗曼蒂克,luómàndìkè,SV: to be romantic [PAVC-314]
粉紅色,粉红色,fěnhóngsè,N: pink [PAVC-314]
見識,见识,jiànshì,"N, V: general knowledge and experience, scope; to experience [PAVC-314]"
保證,保证,bǎozhèng,"V: to guarantee, assure, ensure [PAVC-314]"
做實驗,做实验,zuòshíyàn,"VO: to perform an experiment, to make a test [PAVC-314]"
實驗,实验,shíyàn,"V, N: to experiment; experiment, test [PAVC-314]"
實驗室,实验室,shíyànshì,N: laboratory [PAVC-314]
賭城,赌城,dǔchéng,N: city or town that is a gambling destination [PAVC-314]
賭場,赌场,dǔchǎng,"N: casino, gambling den [PAVC-314]"
觀光客,观光客,guānguāngkè,N: tourist [PAVC-314]
賭鬼,赌鬼,dǔguǐ,N: an obsessive gambler [PAVC-314]
賭,赌,dǔ,"V: to gamble, bet, wager [PAVC-314]"
打賭,打赌,dǎdǔ,VO: to make a bet [PAVC-314]
賭博,赌博,dǔbó,N: gambling [PAVC-314]
運氣,运气,yùnqì,"N: fortune, luck [PAVC-314]"
幸運,幸运,xìngyùn,"SV: to be fortunate, lucky [PAVC-314]"
不幸,不幸,búxìng,"SV, A: to be unfortunate, to be sad; unfortunately [PAVC-314]"
說不定,说不定,shuōbúdìng,"MA, IE: perhaps, maybe [PAVC-314]"
萬一,万一,wànyī,"A: just in case, if by any chance [PAVC-314]"
輸,输,shū,"V: to lose, to be defeated [PAVC-314]"
表演,表演,biǎoyǎn,"N, V: performance; to perform [PAVC-314]"
演,演,yǎn,"V: to perform, to act [PAVC-314]"
上演,上演,shàngyǎn,V: to open on the stage or screen (for movies and plays) [PAVC-314]
開演,开演,kāiyǎn,V: to start a performance or show [PAVC-314]
電影院,电影院,diànyǐngyuàn,"N: cinema, movie theater [PAVC-314] [PAVC-404]"
大開眼界,大开眼界,dàkāiyǎnjiè,IE: to greatly broaden one's horizon or outlook [PAVC-314]
開眼界,开眼界,kāiyǎnjiè,VO: to expand one's horizons [PAVC-314]
眼界,眼界,yǎnjiè,"N: field of view, range of vision [PAVC-314]"
導遊,导游,dǎoyóu,N: tour guide [PAVC-314]
爺爺,爷爷,yéye,"N: grandpa, grandfather (father's father), a respectful form of address for an old man [PAVC-314]"
轉機,转机,zhuǎnjī,VO: to change planes [PAVC-314]
雲霄飛車,云霄飞车,yúnxiāofēichē,N: rollercoaster [PAVC-314]
高血壓,高血压,gāoxiěyā,N: high blood pressure [PAVC-314]
雲,云,yún,"N: cloud (M: 塊, 片, 朵) [PAVC-314]"
朵,朵,duǒ,M: measure word for flowers and clouds [PAVC-314]
海洋,海洋,hǎiyáng,"N: ocean, sea [PAVC-314]"
地球,地球,dìqiú,"N: Earth, the globe [PAVC-314] [PAVC-407]"
過癮,过瘾,guòyǐn,"SV, VO: to enjoy oneself to the full; to satisfy a craving [PAVC-314]"
動物,动物,dòngwù,"N: animal (M: 隻, 頭, 條) [PAVC-314]"
陸地,陆地,lùdì,N: dry land [PAVC-314] [PAVC-517]
大象,大象,dàxiàng,N: elephant [PAVC-314]
鯨魚,鲸鱼,jīngyú,N: whale [PAVC-314]
動物園,动物园,dòngwùyuán,N: zoo (M: 座) [PAVC-314]
海洋動物,海洋动物,hǎiyángdòngwù,"N: marine life (M: 條, 隻, 頭) [PAVC-314]"
難道,难道,nándào,"A: ""Can it be possible that … ?""(what follows is a rhetorical question) [PAVC-314]"
有關,有关,yǒuguān,"CV, PT: to have something to do with, to be related to; has to do with …, is related to … (跟 … ～) [PAVC-314]"
知識,知识,zhīshì,N: knowledge [PAVC-314]
常識,常识,chángshì,"N: common sense, basic knowledge [PAVC-314]"
專家,专家,zhuānjiā,"N: specialist, expert [PAVC-314]"
書法家,书法家,shūfǎjiā,N: calligrapher [PAVC-314]
作家,作家,zuòjiā,"N: writer, author [PAVC-314]"
專業,专业,zhuānyè,"AT, SV: major field of study, specialized trade; to be professional [PAVC-314]"
瀑布,瀑布,pùbù,N: waterfall [PAVC-314]
旅行團,旅行团,lǚxíngtuán,"N: group tour, touring party [PAVC-314]"
旅行社,旅行社,lǚxíngshè,N: travel agency (M: 家) [PAVC-314]
團員,团员,tuányuán,N: member of a group [PAVC-314]
省事,省事,shěngshì,"VO, SV: to save trouble, simplify matters; to be convenient [PAVC-314]"
省錢,省钱,shěngqián,"VO, SV: to save money; economical [PAVC-314]"
省時間,省时间,shěngshíjiān,"VO, SV: to save time; to be time-saving [PAVC-314]"
省油,省油,shěngyóu,"VO, SV: to save gasoline; to be gas-saving [PAVC-314]"
省電,省电,shěngdiàn,"VO, SV: to save electricity; to be electricity-saving [PAVC-314]"
省,省,shěng,N: province [PAVC-314]
四川,四川,Sìchuān,N: a province in China (Sichuan) [PAVC-314]
安全,安全,ānquán,"N, SV: safety; to be safe, secure [PAVC-314]"
安全帽,安全帽,ānquánmào,N: safety helmet (M: 頂) [PAVC-314]
頂,顶,dǐng,M: measure word for hats [PAVC-314]
安全帶,安全带,ānquándài,"N: safety belt, seat belt (M: 條) [PAVC-314]"
走馬看花,走马看花,zǒumǎkànhuā,IE: to gain a superficial understanding through cursory observation [PAVC-314]
排隊,排队,páiduì,"VO: to line up, to queue up [PAVC-314]"
自助,自助,zìzhù,AT: self-service [PAVC-314]
開放,开放,kāifàng,"V, SV: to be open to public use; to be open-minded, liberal [PAVC-314]"
打聽,打听,dǎtīng,"V: to make inquiries about; to ask around, to pry into; to enquire; to nose into; to inquire about … [PAVC-314]"
護照,护照,hùzhào,N: passport (M: 本) [PAVC-314]
簽證,签证,qiānzhèng,N: visa [PAVC-314]
簽名,签名,qiānmíng,"VO, N: to sign one's name or signature [PAVC-314]"
趕快,赶快,gǎnkuài,"A: at once, quickly, immediately [PAVC-314]"
趕,赶,gǎn,"V, SV: to hurry, to rush, to catch up with; in a rush [PAVC-314]"
趕上,赶上,gǎnshàng,RC: to catch up with; to be in time for [PAVC-314]
春假,春假,chūnjià,N: spring vacation [PAVC-314]
假日,假日,jiàrì,"N: holiday, day off [PAVC-314]"
請假,请假,qǐngjià,VO: to ask for leave [PAVC-314]
病假,病假,bìngjià,N: sick leave [PAVC-314]
事假,事假,shìjià,"N: a leave of absence (to attend to personal affairs), personal leave [PAVC-314]"
曬太陽,晒太阳,shàitàiyáng,VO: to bask in the sun [PAVC-314]
曬,晒,shài,"V: to dry in the sun, to bask [PAVC-314]"
太陽,太阳,tàiyáng,N: Sun [PAVC-314]
月亮,月亮,yuèliàng,N: Moon [PAVC-314]
星星,星星,xīngxīng,N: stars [PAVC-314]
算了,算了,suànle,"IE: ""Forget it!"" [PAVC-314]"
哎呀,哎呀,āiya,"I: ""Alas!"" (indicating surprise) [PAVC-314]"
巴黎,巴黎,Bālí,N: Paris [PAVC-314]
塞納河,塞纳河,Sàinàhé,N: Seine River [PAVC-314]
羅浮宮,罗浮宫,Luófúgōng,N: The Louvre [PAVC-314]
凡爾賽宮,凡尔赛宫,Fán'ěrsàigōng,N: Versailles [PAVC-314]
巴黎鐵塔,巴黎铁塔,Bālí Tiětǎ,N: Eiffel Tower [PAVC-314]
威尼斯,威尼斯,Wēinísī,N: Venice [PAVC-314]
羅馬,罗马,Luómǎ,N: Rome [PAVC-314]
蒙地卡羅,蒙地卡罗,Méngdìkǎluó,N: Monte Carlo [PAVC-314]
海洋世界,海洋世界,Hǎiyángshìjiè,N: Sea World [PAVC-314]
迪士尼樂,迪士尼乐,Díshìnílè,N: Disneyland (～園) [PAVC-314]
尼加拉,尼加拉,Níjiālā,N: Niagara Falls (～瀑布) [PAVC-314]
黃石公園,黄石公园,Huángshí Gōngyuán,N: Yellowstone Park [PAVC-314]
忠實噴泉,忠实喷泉,Zhōngshípēnquán,N: Old Faithful Geyser (老～) [PAVC-314]
佛羅里達,佛罗里达,Fóluólǐdá,N: Florida [PAVC-314]
浪漫,浪漫,làngmàn,SV: to be romantic [PAVC-314]
秀,秀,xiù,N: the equivalent of 'show' (as a performance or a political publicity stunt in 政治～) [PAVC-314]
錄音帶,录音带,lùyīndài,"N: casette tape, audio tape (M: 卷) [PAVC-314] [PAVC-401]"
主題,主题,zhǔtí,"N: topic, theme, motif, proposition [PAVC-301]"
語助詞,语助词,yǔzhùcí,N: grammatical particle [PAVC-301]
評斷,评断,píngduàn,"N, V: judge; to arbitrate [PAVC-301]"
估計,估计,gūjì,"V: estimate, appraise, reckon [PAVC-301]"
描寫,描写,miáoxiě,"V: describe, depict, portray [PAVC-301]"
修飾,修饰,xiūshì,"N: qualifier, modifier [PAVC-301]"
省略,省略,shěnglüè,"V: to leave out, to omit, to abridge [PAVC-301]"
表面,表面,biǎomiàn,"N: surface, face, outside appearance [PAVC-301]"
提示,提示,tíshì,"V: to point out, to prompt [PAVC-301]"
括弧,括弧,kuòhú,N: parentheses [PAVC-301]
助動詞,助动词,zhùdòngcí,N: auxillary or modal verb [PAVC-301]
句尾,句尾,jùwěi,N: end of sentence [PAVC-301]
頻率,频率,pínlǜ,N: frequency [PAVC-301]
結論,结论,jiélùn,N: conclusion (as of a syllogism) [PAVC-301]
建議,建议,jiànyì,"N, V: to propose, to suggest, to recommend [PAVC-301]"
某,某,mǒu,"PRON: certain, some [PAVC-301]"
合成,合成,héchéng,"RV: to compose, to synthesize, to form together [PAVC-301]"
維持,维持,wéichí,"V: to keep, to preserve [PAVC-301]"
對象,对象,duìxiàng,"N: target, object (also grammatical) [PAVC-301]"
事物,事物,shìwù,"N: thing, object [PAVC-301]"
歎詞,叹词,tàncí,N: interjection or exclamation (first character also written 嘆) [PAVC-301]
關聯,关联,guānlián,"V: to be related, to be connected [PAVC-301]"
確切,确切,quèqiè,"SV: definite, exact, precise, accurate, clear and unambiguous [PAVC-301]"
語調,语调,yǔdiào,"N: intonation, tone [PAVC-301]"
醒悟,醒悟,xǐngwù,"V: come to realize, wake up to reality [PAVC-301]"
領會,领会,lǐnghuì,"V: understand, comprehend, grasp [PAVC-301]"
讚許,赞许,zànxǔ,"V: to laud, to praise, to commend [PAVC-301]"
僅,仅,jǐn,"A: only, barely [PAVC-301]"
合音,合音,héyīn,N: (linguistic) contraction [PAVC-301]
疑問,疑问,yíwèn,"N: question, doubt [PAVC-301]"
疑問代詞,疑问代词,yíwèndàicí,N: interrogative pronoun [PAVC-301]
連用,连用,liányòng,"V: to use consecutively, to use together [PAVC-301]"
若,若,ruò,"CONJ: if, as if [PAVC-301]"
批示,批示,pīshì,N: memo from a superior to an inferior [PAVC-301]
例假,例假,lìjià,N: official or legal holiday [PAVC-301]
凌晨,凌晨,língchén,N: before dawn [PAVC-301]
歸,归,guī,"V: to go back to, to return [PAVC-301]"
焢肉,焢肉,hōngròu,N: moist and tender pork belly meat [PAVC-302]
牛腩,牛腩,niúnǎn,"N: sirloin, tenderloin [PAVC-302]"
肉絲,肉丝,ròusī,N: shredded meat [PAVC-302]
煎,煎,jiān,V: to fry [PAVC-302]
蔥花,葱花,cōnghuā,N: chopped green onion [PAVC-302]
肉醬,肉酱,ròujiàng,N: ground or minced meat [PAVC-302]
開陽,开阳,kāiyáng,N: dried shrimp meat [PAVC-302]
番茄,番茄,fānqié,N: tomato [PAVC-302]
桂,桂,guì,N: laurel [PAVC-302]
竹筍,竹笋,zhúsǔn,N: bamboo shoots [PAVC-302]
芙蓉,芙蓉,fúróng,"N: cottonrose hibiscus, lotus [PAVC-302]"
滷,卤,lǔ,N: thick gravy [PAVC-302]
回鍋肉,回锅肉,huíguōròu,N: twice-cooked pork [PAVC-302]
苦瓜,苦瓜,kǔguā,"N: bitter melon, balsam pear [PAVC-302]"
茄子,茄子,qiézi,N: eggplant [PAVC-302]
洋蔥,洋葱,yángcōng,N: onion [PAVC-302]
嫩,嫩,nèn,"SV: tender, delicate, light [PAVC-302]"
爆,爆,bào,"V: to quick-fry, to quick-boil [PAVC-302]"
蒜泥,蒜泥,suànní,N: mashed garlic [PAVC-302]
培根,培根,péigēn,N: bacon [PAVC-302]
高麗菜,高丽菜,gāolícài,N: cabbage [PAVC-302]
鐵板,铁板,tiěbǎn,"N: iron plate, sheet iron [PAVC-302]"
蛤,蛤,gé,N: clam (seafood) [PAVC-302]
三鮮,三鲜,sānxiān,"N: three kinds of seafood: cuttlefish (花枝), shrimp (蝦仁) and squid (魷魚) [PAVC-302]"
花枝,花枝,huāzhī,N: cuttlefish [PAVC-302]
梅干,梅干,méigān,N: dry plum [PAVC-302]
扣肉,扣肉,kòuròu,N: richly seasoned steamed pork [PAVC-302]
杏,杏,xìng,N: apricot [PAVC-302]
白切雞,白切鸡,báiqiējī,"N: chicken poached in fragrant soup stock, served cold [PAVC-302]"
銀魚,银鱼,yínyú,N: whitebait [PAVC-302]
蚵,蚵,kè,N: oyster [PAVC-302]
鹽,盐,yán,N: salt [PAVC-302]
鱈魚,鳕鱼,xuěyú,N: cod [PAVC-302]
青椒,青椒,qīngjiāo,N: green cayenne pepper [PAVC-302]
薑,姜,jiāng,N: ginger (also written as 姜) [PAVC-302]
大腸,大肠,dàcháng,N: large intestine [PAVC-302]
脆,脆,cuì,SV: crisp [PAVC-302]
獅子頭,狮子头,shīzitóu,N: large stewed pork meatballs [PAVC-302]
豆瓣醬,豆瓣酱,dòubànjiàng,"N: spicy, salty paste made from fermented broad beans, soybeans, salt, rice, and various spices [PAVC-302]"
虱目魚,虱目鱼,shīmùyú,N: milkfish [PAVC-302]
蒸,蒸,zhēng,V: to steam [PAVC-302]
補語,补语,bǔyǔ,"N: complement, objective complement (in linguistics) [PAVC-302]"
狀態,状态,zhuàngtài,"N: state of affairs, condition, status [PAVC-302]"
亦,亦,yì,A: also [PAVC-302]
立場,立场,lìchǎng,"N: position, standpoint [PAVC-302]"
語氣,语气,yǔqì,"N: tone, manner of speaking [PAVC-302]"
敘述,叙述,xùshù,"V: to narrate, to recount, to relate [PAVC-302]"
含義,含义,hányì,"N: meaning, implication, connotation [PAVC-302]"
重覆,重复,chóngfù,V: to repeat [PAVC-302]
返,返,fǎn,"V: to return, to go back [PAVC-302]"
賓語,宾语,bīnyǔ,"N: object, complement [PAVC-302]"
任指,任指,rènzhǐ,"N, V: indefinite, general denotation; to identify and point out [PAVC-302]"
合乎,合乎,héhū,"V: to conform with, to accord with [PAVC-302]"
經理,经理,jīnglǐ,"N, V: manager, director; to handle, to manage [PAVC-302]"
實物,实物,shíwù,"N: (material) object, realia [PAVC-302]"
假設,假设,jiǎshè,"N, V: hypothesis, postulate; to suppose, to assume, to grant, to presume [PAVC-302]"
招呼,招呼,zhāohū,"N, V: call, greeting; to call, to greet [PAVC-302]"
叫喚,叫唤,jiàohuàn,"V: to cry, to call out [PAVC-302]"
根,根,gēn,"N, M: root; measure word for long and slender objects, hair in particular [PAVC-302]"
蚊子,蚊子,wénzi,"N: mosquito, gnat [PAVC-302]"
材料,材料,cáiliào,"N: material, data, ingredients [PAVC-302]"
註冊,注册,zhùcè,VO: to register [PAVC-303]
行事曆,行事历,xíngshìlì,N: calendar [PAVC-306]
辦理,办理,bànlǐ,"V: to handle, to conduct, to transact [PAVC-306]"
預先,预先,yùxiān,"A: in advance, beforehand [PAVC-306]"
誕辰,诞辰,dànchén,N: birthday [PAVC-306]
光復節,光复节,Guāngfùjié,"N: holiday celebrating Japan's cession of Taiwan to China (""Recovery Day"") [PAVC-306]"
國慶,国庆,Guóqìng,"N: National Day (October 1 in China, October 10 in Taiwan) [PAVC-306]"
更正,更正,gēngzhèng,V: to make corrections [PAVC-306]
行政人員,行政人员,xíngzhèngrényuán,"N: administrative personnel, staff [PAVC-306]"
西班牙,西班牙,Xībānyá,N: Spain [PAVC-313]
師範,师范,shīfàn,"AT: pedagogical, teacher-training, ""normal"" school [PAVC-303]"
皆,皆,jiē,"PRON: all, everyone (in writing) [PAVC-303]"
予以,予以,yǔyǐ,"V: to give, to grant [PAVC-303]"
性別,性别,xìngbié,N: sex (as in male or female) [PAVC-303]
欄,栏,lán,N: field or space in a form [PAVC-303]
入學,入学,rùxué,VO: to enter a school or university [PAVC-303]
招租,招租,zhāozū,"V: to let, to be for rent (of a house) [PAVC-303]"
必要,必要,bìyào,"SV: to be necessary, to be indispensable [PAVC-303]"
具備,具备,jùbèi,"V: to possess, to have, to be provided with [PAVC-303]"
絕,绝,jué,"A: absolutely, extremely, by any means [PAVC-303]"
狀況,状况,zhuàngkuàng,N: condition or state of affairs [PAVC-303]
主語,主语,zhǔyǔ,N: subject (of a sentence) [PAVC-303]
其一,其一,qíyī,"AT, A: first; firstly [PAVC-303]"
選擇式,选择式,xuǎnzéshì,N: alternative (in linguistics) [PAVC-303]
單音節,单音节,dānyīnjié,N: monosyllable [PAVC-303]
驚懼,惊惧,jīngjù,"SV: to be scared, to be fearful [PAVC-303]"
呻吟,呻吟,shēnyín,"V: to groan, to moan [PAVC-303]"
利息,利息,lìxí,N: interest [PAVC-303]
副詞,副词,fùcí,N: adverb [PAVC-304]
感歎,感叹,gǎntàn,"N, V: exclamation (in linguistics); to sigh, to exclaim [PAVC-304]"
相同,相同,xiāngtóng,"SV: to be identical, to be alike, to be equivalent, to be uniform [PAVC-304]"
特殊,特殊,tèshū,"SV: to be special, to be particular, to be peculiar [PAVC-304]"
加起來,加起来,jiāqǐlái,RC: to add together [PAVC-304]
描述,描述,miáoshù,V: to describe [PAVC-304]
句首,句首,jùshǒu,N: beginning of sentence [PAVC-304]
讓步,让步,ràngbù,"VO: to yield, to compromise [PAVC-304]"
轉折,转折,zhuǎnzhé,"N: complications, twists and turns, turn in the course of events [PAVC-304]"
語境,语境,yǔjìng,"N: context, situation, language environment [PAVC-304]"
除去,除去,chúqù,"CV, RV: except; eliminate [PAVC-304]"
補充,补充,bǔchōng,"V: replenish, supplement [PAVC-304]"
否定,否定,fǒudìng,"N, V: negation; to negate, to deny [PAVC-304]"
例外,例外,lìwài,N: exception [PAVC-304]
訝異,讶异,yàyì,V: to be suprised at [PAVC-304]
