Traditional,Simplified,PinyinNumbered,Pinyin,Freq
不,不,bu4,bù,2154
縣,县,xian4,xiàn,1856
大,大,da4,dà,1854
人,人,ren2,rén,1703
一,一,yi1,yī,1254
子,子,zi5,zi,1130
區,区,qu1,qū,1122
國,国,guo2,guó,1040
山,山,shan1,shān,1036
學,学,xue2,xué,992
市,市,shi4,shì,959
斯,斯,si1,sī,938
水,水,shui3,shuǐ,937
中,中,zhong1,zhōng,906
心,心,xin1,xīn,891
生,生,sheng1,shēng,858
爾,尔,er3,ěr,842
無,无,wu2,wú,826
頭,头,tou2,tóu,808
地,地,di4,dì,804
自,自,zi4,zì,794
馬,马,ma3,mǎ,784
天,天,tian1,tiān,781
性,性,xing4,xìng,732
有,有,you3,yǒu,731
拉,拉,la1,lā,724
小,小,xiao3,xiǎo,708
家,家,jia1,jiā,707
海,海,hai3,hǎi,701
動,动,dong4,dòng,692
兒,儿,r5,r,684
白,白,bai2,bái,675
機,机,ji1,jī,673
化,化,hua4,huà,654
金,金,jin1,jīn,653
會,会,hui4,huì,644
子,子,zi3,zǐ,640
安,安,an1,ān,635
西,西,xi1,xī,635
克,克,ke4,kè,629
花,花,hua1,huā,628
體,体,ti3,tǐ,621
高,高,gao1,gāo,615
上,上,shang4,shàng,609
電,电,dian4,diàn,604
公,公,gong1,gōng,603
法,法,fa3,fǎ,600
氣,气,qi4,qì,592
手,手,shou3,shǒu,590
三,三,san1,sān,587
物,物,wu4,wù,580
出,出,chu1,chū,564
利,利,li4,lì,562
特,特,te4,tè,561
平,平,ping2,píng,561
文,文,wen2,wén,557
力,力,li4,lì,553
口,口,kou3,kǒu,548
下,下,xia4,xià,547
之,之,zhi1,zhī,542
德,德,de2,dé,540
事,事,shi4,shì,539
主,主,zhu3,zhǔ,531
理,理,li3,lǐ,529
行,行,xing2,xíng,520
開,开,kai1,kāi,518
亞,亚,ya4,yà,518
道,道,dao4,dào,518
風,风,feng1,fēng,517
車,车,che1,chē,515
多,多,duo1,duō,514
分,分,fen1,fēn,514
新,新,xin1,xīn,511
合,合,he2,hé,508
門,门,men2,mén,505
南,南,nan2,nán,502
語,语,yu3,yǔ,500
發,发,fa1,fā,495
日,日,ri4,rì,485
時,时,shi2,shí,484
數,数,shu4,shù,481
成,成,cheng2,chéng,479
工,工,gong1,gōng,474
城,城,cheng2,chéng,472
石,石,shi2,shí,466
通,通,tong1,tōng,464
打,打,da3,dǎ,463
外,外,wai4,wài,449
器,器,qi4,qì,449
者,者,zhe3,zhě,447
定,定,ding4,dìng,446
面,面,mian4,miàn,443
眼,眼,yan3,yǎn,442
東,东,dong1,dōng,438
義,义,yi4,yì,438
神,神,shen2,shén,437
光,光,guang1,guāng,437
羅,罗,luo2,luó,437
巴,巴,ba1,bā,431
族,族,zu2,zú,431
可,可,ke3,kě,428
紅,红,hong2,hóng,425
點,点,dian3,diǎn,425
阿,阿,a1,ā,422
病,病,bing4,bìng,421
州,州,zhou1,zhōu,419
里,里,li3,lǐ,417
明,明,ming2,míng,415
民,民,min2,mín,413
路,路,lu4,lù,413
流,流,liu2,liú,411
線,线,xian4,xiàn,411
加,加,jia1,jiā,411
方,方,fang1,fāng,410
老,老,lao3,lǎo,405
長,长,chang2,cháng,404
林,林,lin2,lín,400
黃,黄,huang2,huáng,399
陽,阳,yang2,yáng,394
名,名,ming2,míng,394
本,本,ben3,běn,394
空,空,kong1,kōng,391
作,作,zuo4,zuò,391
火,火,huo3,huǒ,390
河,河,he2,hé,389
經,经,jing1,jīng,388
色,色,se4,sè,388
字,字,zi4,zì,388
龍,龙,long2,lóng,387
用,用,yong4,yòng,385
音,音,yin1,yīn,384
江,江,jiang1,jiāng,379
美,美,mei3,měi,371
年,年,nian2,nián,367
交,交,jiao1,jiāo,367
二,二,er4,èr,366
科,科,ke1,kē,366
布,布,bu4,bù,362
言,言,yan2,yán,362
治,治,zhi4,zhì,361
後,后,hou4,hòu,361
書,书,shu1,shū,358
管,管,guan3,guǎn,358
來,来,lai2,lái,357
黑,黑,hei1,hēi,356
北,北,bei3,běi,354
意,意,yi4,yì,354
格,格,ge2,gé,350
基,基,ji1,jī,350
業,业,ye4,yè,348
木,木,mu4,mù,348
尼,尼,ni2,ní,344
同,同,tong2,tóng,344
情,情,qing2,qíng,343
反,反,fan3,fǎn,342
星,星,xing1,xīng,342
鄉,乡,xiang1,xiāng,341
報,报,bao4,bào,341
前,前,qian2,qián,341
對,对,dui4,duì,333
過,过,guo4,guò,329
然,然,ran2,rán,328
清,清,qing1,qīng,328
身,身,shen1,shēn,328
全,全,quan2,quán,325
網,网,wang3,wǎng,323
正,正,zheng4,zhèng,322
死,死,si3,sǐ,320
魚,鱼,yu2,yú,319
和,和,he2,hé,317
蘭,兰,lan2,lán,315
如,如,ru2,rú,315
場,场,chang3,chǎng,315
代,代,dai4,dài,315
世,世,shi4,shì,314
球,球,qiu2,qiú,314
關,关,guan1,guān,313
信,信,xin4,xìn,312
卡,卡,ka3,kǎ,311
達,达,da2,dá,311
戰,战,zhan4,zhàn,311
皮,皮,pi2,pí,306
度,度,du4,dù,304
教,教,jiao4,jiào,302
古,古,gu3,gǔ,302
內,内,nei4,nèi,302
單,单,dan1,dān,300
比,比,bi3,bǐ,300
詞,词,ci2,cí,299
運,运,yun4,yùn,297
起,起,qi3,qǐ,297
軍,军,jun1,jūn,296
變,变,bian4,biàn,296
員,员,yuan2,yuán,295
聲,声,sheng1,shēng,295
保,保,bao3,bǎo,291
式,式,shi4,shì,291
原,原,yuan2,yuán,291
節,节,jie2,jié,288
而,而,er2,ér,288
見,见,jian4,jiàn,288
波,波,bo1,bō,288
角,角,jiao3,jiǎo,288
回,回,hui2,huí,286
以,以,yi3,yǐ,284
相,相,xiang1,xiāng,283
土,土,tu3,tǔ,281
士,士,shi4,shì,281
女,女,nu:3,nǚ,280
形,形,xing2,xíng,279
包,包,bao1,bāo,278
說,说,shuo1,shuō,277
知,知,zhi1,zhī,276
目,目,mu4,mù,274
熱,热,re4,rè,274
太,太,tai4,tài,274
四,四,si4,sì,274
得,得,de2,dé,273
草,草,cao3,cǎo,272
入,入,ru4,rù,272
尾,尾,wei3,wěi,272
王,王,wang2,wáng,270
油,油,you2,yóu,270
為,为,wei2,wéi,270
解,解,jie3,jiě,269
血,血,xue4,xuè,269
放,放,fang4,fàng,268
酒,酒,jiu3,jiǔ,268
嘴,嘴,zui3,zuǐ,267
納,纳,na4,nà,265
百,百,bai3,bǎi,264
月,月,yue4,yuè,263
香,香,xiang1,xiāng,263
實,实,shi2,shí,262
華,华,hua2,huá,262
傳,传,chuan2,chuán,261
話,话,hua4,huà,260
政,政,zheng4,zhèng,260
萬,万,wan4,wàn,260
號,号,hao4,hào,259
沙,沙,sha1,shā,259
聯,联,lian2,lián,258
期,期,qi1,qī,258
量,量,liang4,liàng,258
位,位,wei4,wèi,258
武,武,wu3,wǔ,257
連,连,lian2,lián,257
鳥,鸟,niao3,niǎo,257
產,产,chan3,chǎn,256
半,半,ban4,bàn,255
毒,毒,du2,dú,255
青,青,qing1,qīng,254
失,失,shi1,shī,253
島,岛,dao3,dǎo,253
板,板,ban3,bǎn,253
酸,酸,suan1,suān,253
米,米,mi3,mǐ,253
能,能,neng2,néng,252
好,好,hao3,hǎo,252
維,维,wei2,wéi,252
五,五,wu3,wǔ,252
轉,转,zhuan3,zhuǎn,252
圖,图,tu2,tú,251
八,八,ba1,bā,251
帶,带,dai4,dài,251
精,精,jing1,jīng,250
重,重,zhong4,zhòng,250
素,素,su4,sù,248
品,品,pin3,pǐn,248
立,立,li4,lì,247
腳,脚,jiao3,jiǎo,245
結,结,jie2,jié,243
應,应,ying4,yìng,242
食,食,shi2,shí,242
進,进,jin4,jìn,240
權,权,quan2,quán,239
部,部,bu4,bù,239
夫,夫,fu1,fū,236
計,计,ji4,jì,236
所,所,suo3,suǒ,236
命,命,ming4,mìng,236
集,集,ji2,jí,235
活,活,huo2,huó,234
愛,爱,ai4,ài,234
非,非,fei1,fēi,233
骨,骨,gu3,gǔ,233
雞,鸡,ji1,jī,232
間,间,jian1,jiān,231
制,制,zhi4,zhì,230
表,表,biao3,biǎo,229
毛,毛,mao2,máo,228
雙,双,shuang1,shuāng,228
普,普,pu3,pǔ,227
商,商,shang1,shāng,227
肉,肉,rou4,ròu,224
牛,牛,niu2,niú,223
官,官,guan1,guān,223
論,论,lun4,lùn,223
約,约,yue1,yuē,223
雀,雀,que4,què,222
核,核,he2,hé,222
塔,塔,ta3,tǎ,222
鐵,铁,tie3,tiě,220
射,射,she4,shè,220
落,落,luo4,luò,219
菜,菜,cai4,cài,218
視,视,shi4,shì,217
提,提,ti2,tí,217
樂,乐,le4,lè,216
接,接,jie1,jiē,215
走,走,zou3,zǒu,214
直,直,zhi2,zhí,214
院,院,yuan4,yuàn,214
指,指,zhi3,zhǐ,214
盤,盘,pan2,pán,213
收,收,shou1,shōu,213
哈,哈,ha1,hā,212
滿,满,man3,mǎn,212
樹,树,shu4,shù,211
標,标,biao1,biāo,211
十,十,shi2,shí,211
密,密,mi4,mì,211
吃,吃,chi1,chī,211
足,足,zu2,zú,210
寧,宁,ning2,níng,210
元,元,yuan2,yuán,210
臺,台,tai2,tái,207
邊,边,bian1,biān,207
源,源,yuan2,yuán,206
裝,装,zhuang1,zhuāng,204
雲,云,yun2,yún,204
洋,洋,yang2,yáng,204
症,症,zheng4,zhèng,204
條,条,tiao2,tiáo,204
務,务,wu4,wù,203
藥,药,yao4,yào,203
福,福,fu2,fú,203
質,质,zhi4,zhì,203
鎮,镇,zhen4,zhèn,202
程,程,cheng2,chéng,202
客,客,ke4,kè,202
司,司,si1,sī,201
環,环,huan2,huán,201
片,片,pian4,piàn,201
在,在,zai4,zài,200
漢,汉,han4,hàn,199
層,层,ceng2,céng,198
步,步,bu4,bù,198
記,记,ji4,jì,197
廣,广,guang3,guǎng,197
腦,脑,nao3,nǎo,197
界,界,jie4,jiè,197
飛,飞,fei1,fēi,196
統,统,tong3,tǒng,196
資,资,zi1,zī,196
遠,远,yuan3,yuǎn,196
房,房,fang2,fáng,195
母,母,mu3,mǔ,195
當,当,dang1,dāng,194
座,座,zuo4,zuò,194
印,印,yin4,yìn,194
吉,吉,ji2,jí,194
證,证,zheng4,zhèng,194
師,师,shi1,shī,194
共,共,gong4,gòng,193
聖,圣,sheng4,shèng,193
根,根,gen1,gēn,191
難,难,nan2,nán,191
服,服,fu2,fú,191
術,术,shu4,shù,191
感,感,gan3,gǎn,191
果,果,guo3,guǒ,190
於,于,yu2,yú,190
烏,乌,wu1,wū,190
料,料,liao4,liào,189
貨,货,huo4,huò,189
玉,玉,yu4,yù,188
防,防,fang2,fáng,188
伯,伯,bo2,bó,188
劑,剂,ji4,jì,188
費,费,fei4,fèi,188
細,细,xi4,xì,187
耳,耳,er3,ěr,187
受,受,shou4,shòu,187
苦,苦,ku3,kǔ,186
到,到,dao4,dào,185
斷,断,duan4,duàn,184
湖,湖,hu2,hú,183
易,易,yi4,yì,183
底,底,di3,dǐ,183
異,异,yi4,yì,182
田,田,tian2,tián,182
長,长,zhang3,zhǎng,182
衣,衣,yi1,yī,181
影,影,ying3,yǐng,180
薩,萨,sa4,sà,179
真,真,zhen1,zhēn,179
兵,兵,bing1,bīng,178
重,重,chong2,chóng,178
破,破,po4,pò,178
寶,宝,bao3,bǎo,178
壓,压,ya1,yā,178
級,级,ji2,jí,177
臨,临,lin2,lín,177
其,其,qi2,qí,177
別,别,bie2,bié,177
微,微,wei1,wēi,176
思,思,si1,sī,176
兩,两,liang3,liǎng,175
瓦,瓦,wa3,wǎ,175
局,局,ju2,jú,175
刀,刀,dao1,dāo,175
離,离,li2,lí,174
葉,叶,ye4,yè,174
千,千,qian1,qiān,174
春,春,chun1,chūn,173
港,港,gang3,gǎng,173
團,团,tuan2,tuán,173
背,背,bei4,bèi,173
殺,杀,sha1,shā,172
群,群,qun2,qún,172
組,组,zu3,zǔ,172
靈,灵,ling2,líng,171
價,价,jia4,jià,170
麻,麻,ma2,má,170
總,总,zong3,zǒng,170
社,社,she4,shè,170
銀,银,yin2,yín,170
導,导,dao3,dǎo,168
型,型,xing2,xíng,168
綠,绿,lu:4,lǜ,168
親,亲,qin1,qīn,168
灰,灰,hui1,huī,168
冰,冰,bing1,bīng,168
虎,虎,hu3,hǔ,168
取,取,qu3,qǔ,168
常,常,chang2,cháng,167
強,强,qiang2,qiáng,167
川,川,chuan1,chuān,167
奇,奇,qi2,qí,167
甲,甲,jia3,jiǎ,167
威,威,wei1,wēi,166
先,先,xian1,xiān,166
蟲,虫,chong2,chóng,166
雅,雅,ya3,yǎ,165
李,李,li3,lǐ,165
賽,赛,sai4,sài,165
台,台,tai2,tái,165
類,类,lei4,lèi,165
首,首,shou3,shǒu,164
雷,雷,lei2,léi,164
遊,游,you2,yóu,164
夜,夜,ye4,yè,164
雨,雨,yu3,yǔ,164
托,托,tuo1,tuō,163
深,深,shen1,shēn,163
輪,轮,lun2,lún,163
養,养,yang3,yǎng,163
航,航,hang2,háng,163
勞,劳,lao2,láo,162
次,次,ci4,cì,162
興,兴,xing1,xīng,161
船,船,chuan2,chuán,161
豆,豆,dou4,dòu,160
溫,温,wen1,wēn,160
現,现,xian4,xiàn,160
丁,丁,ding1,dīng,159
博,博,bo2,bó,159
英,英,ying1,yīng,159
衛,卫,wei4,wèi,158
亂,乱,luan4,luàn,158
張,张,zhang1,zhāng,158
推,推,tui1,tuī,156
筆,笔,bi3,bǐ,156
傷,伤,shang1,shāng,156
要,要,yao4,yào,156
件,件,jian4,jiàn,156
不,不,bu5,bu,156
錢,钱,qian2,qián,156
雪,雪,xue3,xuě,155
斑,斑,ban1,bān,155
禮,礼,li3,lǐ,154
史,史,shi3,shǐ,154
伊,伊,yi1,yī,154
班,班,ban1,bān,154
臉,脸,lian3,liǎn,154
絲,丝,si1,sī,153
罪,罪,zui4,zuì,153
向,向,xiang4,xiàng,153
是,是,shi4,shì,153
索,索,suo3,suǒ,153
居,居,ju1,jū,153
朝,朝,chao2,cháo,153
低,低,di1,dī,152
際,际,ji4,jì,152
系,系,xi4,xì,152
笑,笑,xiao4,xiào,152
蛋,蛋,dan4,dàn,152
煙,烟,yan1,yān,152
擊,击,ji1,jī,152
獨,独,du2,dú,152
營,营,ying2,yíng,152
牙,牙,ya2,yá,152
順,顺,shun4,shùn,152
問,问,wen4,wèn,151
望,望,wang4,wàng,151
短,短,duan3,duǎn,151
票,票,piao4,piào,151
列,列,lie4,liè,151
領,领,ling3,lǐng,150
惡,恶,e4,è,150
奧,奥,ao4,ào,149
任,任,ren4,rèn,149
胸,胸,xiong1,xiōng,149
修,修,xiu1,xiū,149
查,查,cha2,chá,149
想,想,xiang3,xiǎng,149
絕,绝,jue2,jué,148
富,富,fu4,fù,148
投,投,tou2,tóu,147
脫,脱,tuo1,tuō,147
魯,鲁,lu3,lǔ,147
頂,顶,ding3,dǐng,147
調,调,diao4,diào,147
超,超,chao1,chāo,147
功,功,gong1,gōng,146
排,排,pai2,pái,146
藍,蓝,lan2,lán,146
燈,灯,deng1,dēng,145
鬼,鬼,gui3,guǐ,145
留,留,liu2,liú,145
令,令,ling4,lìng,145
容,容,rong2,róng,145
造,造,zao4,zào,145
鶥,鹛,mei2,méi,145
室,室,shi4,shì,145
等,等,deng3,děng,144
陰,阴,yin1,yīn,144
極,极,ji2,jí,144
彈,弹,dan4,dàn,143
蘇,苏,su1,sū,143
看,看,kan4,kàn,143
粉,粉,fen3,fěn,143
復,复,fu4,fù,143
戶,户,hu4,hù,143
冷,冷,leng3,lěng,143
護,护,hu4,hù,143
黨,党,dang3,dǎng,143
照,照,zhao4,zhào,143
試,试,shi4,shì,142
去,去,qu4,qù,142
急,急,ji2,jí,142
洛,洛,luo4,luò,142
議,议,yi4,yì,142
求,求,qiu2,qiú,142
觀,观,guan1,guān,141
建,建,jian4,jiàn,141
的,的,de5,de,141
狀,状,zhuang4,zhuàng,140
聽,听,ting1,tīng,140
醫,医,yi1,yī,140
腹,腹,fu4,fù,140
野,野,ye3,yě,140
案,案,an4,àn,140
算,算,suan4,suàn,139
仁,仁,ren2,rén,139
未,未,wei4,wèi,139
喜,喜,xi3,xǐ,139
速,速,su4,sù,139
爭,争,zheng1,zhēng,139
歸,归,gui1,guī,138
織,织,zhi1,zhī,138
積,积,ji1,jī,138
紙,纸,zhi3,zhǐ,137
選,选,xuan3,xuǎn,137
堂,堂,tang2,táng,137
糖,糖,tang2,táng,137
相,相,xiang4,xiàng,137
旗,旗,qi2,qí,136
住,住,zhu4,zhù,136
聞,闻,wen2,wén,136
態,态,tai4,tài,136
快,快,kuai4,kuài,136
農,农,nong2,nóng,135
補,补,bu3,bǔ,135
因,因,yin1,yīn,135
狗,狗,gou3,gǒu,135
周,周,zhou1,zhōu,135
歐,欧,ou1,ōu,135
率,率,lu:4,lǜ,134
濟,济,ji4,jì,134
消,消,xiao1,xiāo,134
派,派,pai4,pài,134
改,改,gai3,gǎi,134
餘,余,yu2,yú,133
善,善,shan4,shàn,133
技,技,ji4,jì,133
橫,横,heng2,héng,133
從,从,cong2,cóng,133
象,象,xiang4,xiàng,133
軟,软,ruan3,ruǎn,133
味,味,wei4,wèi,133
洲,洲,zhou1,zhōu,133
槍,枪,qiang1,qiāng,133
洗,洗,xi3,xǐ,133
兒,儿,er2,ér,132
隊,队,dui4,duì,132
沒,没,mei2,méi,132
胡,胡,hu2,hú,132
種,种,zhong3,zhǒng,132
都,都,du1,dū,131
鶯,莺,ying1,yīng,131
飯,饭,fan4,fàn,131
存,存,cun2,cún,131
碼,码,ma3,mǎ,131
故,故,gu4,gù,130
委,委,wei3,wěi,130
換,换,huan4,huàn,130
引,引,yin3,yǐn,130
菌,菌,jun1,jūn,130
舊,旧,jiu4,jiù,130
羊,羊,yang2,yáng,129
套,套,tao4,tào,129
退,退,tui4,tuì,129
佛,佛,fo2,fó,129
摩,摩,mo2,mó,129
圓,圆,yuan2,yuán,129
告,告,gao4,gào,128
假,假,jia3,jiǎ,128
雜,杂,za2,zá,128
近,近,jin4,jìn,128
貝,贝,bei4,bèi,128
氏,氏,shi4,shì,127
輕,轻,qing1,qīng,127
守,守,shou3,shǒu,127
支,支,zhi1,zhī,127
良,良,liang2,liáng,127
值,值,zhi2,zhí,127
永,永,yong3,yǒng,127
鏡,镜,jing4,jìng,127
萊,莱,lai2,lái,126
款,款,kuan3,kuǎn,126
皇,皇,huang2,huáng,126
男,男,nan2,nán,126
畫,画,hua4,huà,126
樣,样,yang4,yàng,126
頭,头,tou5,tou,125
端,端,duan1,duān,125
勝,胜,sheng4,shèng,125
竹,竹,zhu2,zhú,125
庫,库,ku4,kù,125
職,职,zhi2,zhí,125
製,制,zhi4,zhì,125
眉,眉,mei2,méi,125
勒,勒,le4,lè,124
麵,面,mian4,miàn,124
盡,尽,jin4,jìn,124
除,除,chu2,chú,124
行,行,hang2,háng,124
歌,歌,ge1,gē,123
暗,暗,an4,àn,123
做,做,zuo4,zuò,123
備,备,bei4,bèi,123
乳,乳,ru3,rǔ,123
辦,办,ban4,bàn,122
虛,虚,xu1,xū,122
驚,惊,jing1,jīng,122
戲,戏,xi4,xì,121
京,京,jing1,jīng,121
六,六,liu4,liù,121
岩,岩,yan2,yán,121
招,招,zhao1,zhāo,121
何,何,he2,hé,120
舞,舞,wu3,wǔ,120
調,调,tiao2,tiáo,120
育,育,yu4,yù,120
登,登,deng1,dēng,120
橋,桥,qiao2,qiáo,120
勢,势,shi4,shì,120
舉,举,ju3,jǔ,120
露,露,lu4,lù,119
眾,众,zhong4,zhòng,119
泰,泰,tai4,tài,119
便,便,bian4,biàn,119
針,针,zhen1,zhēn,119
警,警,jing3,jǐng,118
松,松,song1,sōng,118
息,息,xi1,xī,118
考,考,kao3,kǎo,118
秋,秋,qiu1,qiū,118
齊,齐,qi2,qí,118
規,规,gui1,guī,117
察,察,cha2,chá,117
痛,痛,tong4,tòng,117
屬,属,shu3,shǔ,117
恩,恩,en1,ēn,117
乾,干,gan1,gān,117
牌,牌,pai2,pái,117
倒,倒,dao3,dǎo,117
諾,诺,nuo4,nuò,116
第,第,di4,dì,116
景,景,jing3,jǐng,116
架,架,jia4,jià,116
暴,暴,bao4,bào,116
就,就,jiu4,jiù,116
友,友,you3,yǒu,116
麥,麦,mai4,mài,116
膠,胶,jiao1,jiāo,116
配,配,pei4,pèi,116
柳,柳,liu3,liǔ,115
得,得,de5,de,115
害,害,hai4,hài,115
封,封,feng1,fēng,115
賣,卖,mai4,mài,115
隱,隐,yin3,yǐn,115
呼,呼,hu1,hū,115
七,七,qi1,qī,114
站,站,zhan4,zhàn,114
康,康,kang1,kāng,114
九,九,jiu3,jiǔ,114
宗,宗,zong1,zōng,114
送,送,song4,sòng,113
劇,剧,ju4,jù,113
演,演,yan3,yǎn,113
珠,珠,zhu1,zhū,112
模,模,mo2,mó,112
專,专,zhuan1,zhuān,112
樓,楼,lou2,lóu,112
由,由,you2,yóu,112
仙,仙,xian1,xiān,111
測,测,ce4,cè,111
哥,哥,ge1,gē,111
丹,丹,dan1,dān,111
識,识,shi2,shí,111
倫,伦,lun2,lún,111
遺,遗,yi2,yí,111
齒,齿,chi3,chǐ,110
錯,错,cuo4,cuò,110
處,处,chu4,chù,110
鼓,鼓,gu3,gǔ,110
置,置,zhi4,zhì,110
讀,读,du2,dú,110
志,志,zhi4,zhì,110
麗,丽,li4,lì,110
園,园,yuan2,yuán,110
炎,炎,yan2,yán,110
店,店,dian4,diàn,109
翻,翻,fan1,fān,109
脈,脉,mai4,mài,109
錄,录,lu4,lù,109
銷,销,xiao1,xiāo,109
坐,坐,zuo4,zuò,109
具,具,ju4,jù,109
財,财,cai2,cái,109
茶,茶,cha2,chá,109
早,早,zao3,zǎo,109
鳳,凤,feng4,fèng,108
私,私,si1,sī,108
展,展,zhan3,zhǎn,108
孔,孔,kong3,kǒng,108
檢,检,jian3,jiǎn,108
頓,顿,dun4,dùn,108
偏,偏,pian1,piān,107
硬,硬,ying4,yìng,107
曼,曼,man4,màn,107
設,设,she4,shè,107
險,险,xian3,xiǎn,107
散,散,san4,sàn,107
胞,胞,bao1,bāo,107
豐,丰,feng1,fēng,107
編,编,bian1,biān,107
越,越,yue4,yuè,107
那,那,na4,nà,106
曲,曲,qu1,qū,106
昌,昌,chang1,chāng,106
犯,犯,fan4,fàn,106
滑,滑,hua2,huá,106
吸,吸,xi1,xī,106
宮,宫,gong1,gōng,106
念,念,nian4,niàn,105
施,施,shi1,shī,105
樂,乐,yue4,yuè,105
婚,婚,hun1,hūn,105
貴,贵,gui4,guì,105
莫,莫,mo4,mò,105
談,谈,tan2,tán,105
瓜,瓜,gua1,guā,105
額,额,e2,é,105
翅,翅,chi4,chì,104
隨,随,sui2,suí,104
驗,验,yan4,yàn,104
效,效,xiao4,xiào,104
助,助,zhu4,zhù,104
蓋,盖,gai4,gài,104
赤,赤,chi4,chì,103
境,境,jing4,jìng,103
協,协,xie2,xié,103
彩,彩,cai3,cǎi,103
敗,败,bai4,bài,103
刺,刺,ci4,cì,103
題,题,ti2,tí,103
浮,浮,fu2,fú,102
迪,迪,di2,dí,102
帝,帝,di4,dì,102
裡,里,li3,lǐ,102
湯,汤,tang1,tāng,102
股,股,gu3,gǔ,102
準,准,zhun3,zhǔn,102
瑪,玛,ma3,mǎ,102
鼻,鼻,bi2,bí,102
陸,陆,lu4,lù,102
待,待,dai4,dài,102
使,使,shi3,shǐ,101
氧,氧,yang3,yǎng,101
洞,洞,dong4,dòng,101
迷,迷,mi2,mí,101
甘,甘,gan1,gān,101
及,及,ji2,jí,101
峰,峰,feng1,fēng,101
像,像,xiang4,xiàng,100
怪,怪,guai4,guài,100
略,略,lu:e4,lüè,100
陳,陈,chen2,chén,100
喉,喉,hou2,hóu,100
聚,聚,ju4,jù,99
髮,发,fa4,fà,99
紀,纪,ji4,jì,99
爆,爆,bao4,bào,99
承,承,cheng2,chéng,99
切,切,qie4,qiè,99
個,个,ge4,gè,99
蒙,蒙,meng2,méng,99
井,井,jing3,jǐng,99
溪,溪,xi1,xī,98
鹽,盐,yan2,yán,98
初,初,chu1,chū,98
追,追,zhui1,zhuī,98
懷,怀,huai2,huái,98
稱,称,cheng1,chēng,97
處,处,chu3,chǔ,97
圈,圈,quan1,quān,97
移,移,yi2,yí,97
校,校,xiao4,xiào,97
姆,姆,mu3,mǔ,97
省,省,sheng3,shěng,97
奶,奶,nai3,nǎi,96
才,才,cai2,cái,96
紫,紫,zi3,zǐ,96
若,若,ruo4,ruò,96
章,章,zhang1,zhāng,96
旋,旋,xuan2,xuán,96
救,救,jiu4,jiù,96
抗,抗,kang4,kàng,96
了,了,le5,le,95
沉,沉,chen2,chén,95
雄,雄,xiong2,xióng,95
揚,扬,yang2,yáng,95
震,震,zhen4,zhèn,95
探,探,tan4,tàn,95
控,控,kong4,kòng,95
再,再,zai4,zài,95
灣,湾,wan1,wān,94
此,此,ci3,cǐ,94
曲,曲,qu3,qǔ,94
零,零,ling2,líng,94
池,池,chi2,chí,94
夏,夏,xia4,xià,94
森,森,sen1,sēn,94
決,决,jue2,jué,94
折,折,zhe2,zhé,94
刑,刑,xing2,xíng,93
益,益,yi4,yì,93
左,左,zuo3,zuǒ,93
祖,祖,zu3,zǔ,93
埃,埃,ai1,āi,93
跑,跑,pao3,pǎo,93
緊,紧,jin3,jǐn,93
跳,跳,tiao4,tiào,93
唐,唐,tang2,táng,93
激,激,ji1,jī,92
則,则,ze2,zé,92
壁,壁,bi4,bì,92
燒,烧,shao1,shāo,92
赫,赫,he4,hè,92
鼠,鼠,shu3,shǔ,92
至,至,zhi4,zhì,92
裂,裂,lie4,liè,91
寒,寒,han2,hán,91
久,久,jiu3,jiǔ,91
顯,显,xian3,xiǎn,91
致,致,zhi4,zhì,91
簡,简,jian3,jiǎn,91
舌,舌,she2,shé,90
掉,掉,diao4,diào,90
持,持,chi2,chí,90
混,混,hun4,hùn,90
陵,陵,ling2,líng,90
靜,静,jing4,jìng,90
館,馆,guan3,guǎn,90
儀,仪,yi2,yí,90
希,希,xi1,xī,90
燕,燕,yan4,yàn,90
冠,冠,guan1,guān,90
寫,写,xie3,xiě,89
伏,伏,fu2,fú,89
寬,宽,kuan1,kuān,89
必,必,bi4,bì,89
秀,秀,xiu4,xiù,89
末,末,mo4,mò,89
限,限,xian4,xiàn,89
墨,墨,mo4,mò,89
拜,拜,bai4,bài,89
腰,腰,yao1,yāo,89
府,府,fu3,fǔ,89
賓,宾,bin1,bīn,88
預,预,yu4,yù,88
整,整,zheng3,zhěng,88
據,据,ju4,jù,88
審,审,shen3,shěn,88
拿,拿,na2,ná,88
缺,缺,que1,quē,88
泥,泥,ni2,ní,88
掛,挂,gua4,guà,88
止,止,zhi3,zhǐ,88
鬥,斗,dou4,dòu,88
輸,输,shu1,shū,88
借,借,jie4,jiè,88
典,典,dian3,diǎn,87
把,把,ba3,bǎ,87
歷,历,li4,lì,87
透,透,tou4,tòu,87
謀,谋,mou2,móu,87
終,终,zhong1,zhōng,87
床,床,chuang2,chuáng,87
玩,玩,wan2,wán,86
染,染,ran3,rǎn,86
膽,胆,dan3,dǎn,86
棕,棕,zong1,zōng,86
負,负,fu4,fù,86
浪,浪,lang4,làng,86
坦,坦,tan3,tǎn,86
窮,穷,qiong2,qióng,86
熟,熟,shu2,shú,86
幾,几,ji3,jǐ,85
幹,干,gan4,gàn,85
操,操,cao1,cāo,85
磁,磁,ci2,cí,85
唱,唱,chang4,chàng,85
減,减,jian3,jiǎn,85
版,版,ban3,bǎn,85
獎,奖,jiang3,jiǎng,85
嚴,严,yan2,yán,85
尖,尖,jian1,jiān,85
潮,潮,chao2,cháo,85
榮,荣,rong2,róng,84
